#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	weightedVolAverage(H2)	weightedVolAverage(CO2)	weightedVolAverage(CO)	weightedVolAverage(N2)	weightedVolAverage(H2O)
                1	4.4638232119e-03	6.4981337903e-02	3.1018161294e-01	6.2036322589e-01	1.0000052000e-05
                2	4.4635941260e-03	6.4989009913e-02	3.1017513086e-01	6.2036040366e-01	1.1861442407e-05
                3	4.4633644932e-03	6.4996673876e-02	3.1016865341e-01	6.2035758057e-01	1.3727654137e-05
                4	4.4631689879e-03	6.5003849035e-02	3.1016264267e-01	6.2035503209e-01	1.5307212701e-05
                5	4.4629960252e-03	6.5010692916e-02	3.1015694452e-01	6.2035266923e-01	1.6697307750e-05
                6	4.4628339729e-03	6.5017333450e-02	3.1015143368e-01	6.2035040245e-01	1.7996450451e-05
                7	4.4626766088e-03	6.5023842246e-02	3.1014604321e-01	6.2034818051e-01	1.9257421705e-05
                8	4.4625215039e-03	6.5030251475e-02	3.1014072783e-01	6.2034599887e-01	2.0500318023e-05
                9	4.4623677189e-03	6.5036592201e-02	3.1013546232e-01	6.2034384561e-01	2.1732154839e-05
               10	4.4622149743e-03	6.5042879955e-02	3.1013024076e-01	6.2034170843e-01	2.2955875775e-05
               11	4.4620640596e-03	6.5049124385e-02	3.1012505754e-01	6.2033958863e-01	2.4165378083e-05
               12	4.4619137857e-03	6.5055291982e-02	3.1011993975e-01	6.2033748433e-01	2.5370161022e-05
               13	4.4617640100e-03	6.5061429962e-02	3.1011484592e-01	6.2033538903e-01	2.6571081840e-05
               14	4.4616146534e-03	6.5067541223e-02	3.1010977362e-01	6.2033330172e-01	2.7768779210e-05
               15	4.4614656562e-03	6.5073627768e-02	3.1010472117e-01	6.2033122166e-01	2.8963737885e-05
               16	4.4613169734e-03	6.5079691066e-02	3.1009968732e-01	6.2032914831e-01	3.0156323722e-05
               17	4.4611685718e-03	6.5085732207e-02	3.1009467115e-01	6.2032708126e-01	3.1346807720e-05
               18	4.4610204281e-03	6.5091751953e-02	3.1008967201e-01	6.2032502024e-01	3.2535378235e-05
               19	4.4608725277e-03	6.5097750805e-02	3.1008468947e-01	6.2032296504e-01	3.3722154772e-05
               20	4.4607248636e-03	6.5103729016e-02	3.1007972333e-01	6.2032091560e-01	3.4907193454e-05
               21	4.4605774360e-03	6.5109686605e-02	3.1007477357e-01	6.2031887190e-01	3.6090492168e-05
               22	4.4604302516e-03	6.5115623375e-02	3.1006984036e-01	6.2031683402e-01	3.7271995824e-05
               23	4.4602833238e-03	6.5121538903e-02	3.1006492406e-01	6.2031480212e-01	3.8451596320e-05
               24	4.4601366722e-03	6.5127432536e-02	3.1006002522e-01	6.2031277644e-01	3.9629132908e-05
               25	4.4599903232e-03	6.5133303387e-02	3.1005514460e-01	6.2031075730e-01	4.0804392033e-05
               26	4.4598443093e-03	6.5139150339e-02	3.1005028312e-01	6.2030874512e-01	4.1977110661e-05
               27	4.4596986693e-03	6.5144972031e-02	3.1004544195e-01	6.2030674038e-01	4.3146973089e-05
               28	4.4595534486e-03	6.5150766857e-02	3.1004062242e-01	6.2030474366e-01	4.4313612496e-05
               29	4.4594086986e-03	6.5156532972e-02	3.1003582609e-01	6.2030275563e-01	4.5476612953e-05
               30	4.4592644769e-03	6.5162268288e-02	3.1003105471e-01	6.2030077702e-01	4.6635508400e-05
               31	4.4591208471e-03	6.5167970479e-02	3.1002631022e-01	6.2029880867e-01	4.7789785607e-05
               32	4.4589778779e-03	6.5173637002e-02	3.1002159476e-01	6.2029685147e-01	4.8938888518e-05
               33	4.4588356440e-03	6.5179265083e-02	3.1001691065e-01	6.2029490640e-01	5.0082216045e-05
               34	4.4586942239e-03	6.5184851773e-02	3.1001226036e-01	6.2029297451e-01	5.1219133943e-05
               35	4.4585537009e-03	6.5190393923e-02	3.1000764651e-01	6.2029105690e-01	5.2348970359e-05
               36	4.4584141618e-03	6.5195888236e-02	3.1000307186e-01	6.2028915472e-01	5.3471025692e-05
               37	4.4582756965e-03	6.5201331274e-02	3.0999853928e-01	6.2028726917e-01	5.4584575640e-05
               38	4.4581383975e-03	6.5206719484e-02	3.0999405173e-01	6.2028540151e-01	5.5688876050e-05
               39	4.4580023587e-03	6.5212049235e-02	3.0998961225e-01	6.2028355299e-01	5.6783170008e-05
               40	4.4578676754e-03	6.5217316824e-02	3.0998522392e-01	6.2028172489e-01	5.7866690037e-05
               41	4.4577344434e-03	6.5222518524e-02	3.0998088984e-01	6.2027991853e-01	5.8938667086e-05
               42	4.4576027574e-03	6.5227650614e-02	3.0997661311e-01	6.2027813518e-01	5.9998337131e-05
               43	4.4574727119e-03	6.5232709389e-02	3.0997239683e-01	6.2027637613e-01	6.1044941976e-05
               44	4.4573443994e-03	6.5237691195e-02	3.0996824403e-01	6.2027464264e-01	6.2077737368e-05
               45	4.4572179103e-03	6.5242592457e-02	3.0996415769e-01	6.2027293595e-01	6.3095996989e-05
               46	4.4570933319e-03	6.5247409705e-02	3.0996014069e-01	6.2027125725e-01	6.4099018431e-05
               47	4.4569707481e-03	6.5252139597e-02	3.0995619582e-01	6.2026960771e-01	6.5086127427e-05
               48	4.4568502393e-03	6.5256778934e-02	3.0995232573e-01	6.2026798841e-01	6.6056679431e-05
               49	4.4567318812e-03	6.5261324687e-02	3.0994853295e-01	6.2026640041e-01	6.7010065670e-05
               50	4.4566157448e-03	6.5265774007e-02	3.0994481985e-01	6.2026484469e-01	6.7945715065e-05
