#time dij1 dij2 dij3 dik1 dik2 dik3 p_fe p_w p_m p_h
110 0.000170210943209632 6.03993323228826e-05 1.13569773312112e-05 0.00011791502227283 4.18421510138706e-05 7.86766755633099e-06 0.598 0.2122 0.0399 0.02
120 0.000169246849597926 6.00572241884278e-05 1.1292650683875e-05 0.000117727597179204 4.17756433134232e-05 7.85516210275959e-06 0.598 0.2122 0.0399 0.02
130 0.000169284249524239 6.00704955335177e-05 1.12951460970187e-05 0.000117732958548774 4.17775457927256e-05 7.85551982624765e-06 0.598 0.2122 0.0399 0.02
140 0.000169414240828578 6.01166228826491e-05 1.13038194298666e-05 0.000117756362669634 4.17858507332716e-05 7.85708140554918e-06 0.598 0.2122 0.0399 0.02
150 0.000169539105363089 6.01609310000794e-05 1.13121506922864e-05 0.000117778871806109 4.17938380890575e-05 7.85858326933738e-06 0.598 0.2122 0.0399 0.02
160 0.000169651201814071 6.02007083694748e-05 1.13196300374272e-05 0.00011779903597565 4.18009933345031e-05 7.85992867128498e-06 0.598 0.2122 0.0399 0.02
170 0.000169752423586173 6.0236626864525e-05 1.13263837978065e-05 0.000117817223984707 4.18074473403926e-05 7.86114221904648e-06 0.598 0.2122 0.0399 0.02
180 0.000169844658401397 6.02693563424355e-05 1.13325379267822e-05 0.000117833788925281 4.18133254012453e-05 7.86224747177045e-06 0.598 0.2122 0.0399 0.02
190 0.000169929479954792 6.02994552281053e-05 1.13381974250773e-05 0.000117849021173036 4.18187305567194e-05 7.86326380402028e-06 0.598 0.2122 0.0399 0.02
200 0.00017000795258361 6.03273012010735e-05 1.13434333078362e-05 0.000117863112792302 4.18237309607466e-05 7.8642040307907e-06 0.598 0.2122 0.0399 0.02
210 0.000170080976227022 6.03532136043045e-05 1.13483056211675e-05 0.000117876226337183 4.18283842955688e-05 7.86507899808292e-06 0.598 0.2122 0.0399 0.02
220 0.000170149350422884 6.03774761534046e-05 1.13528677121623e-05 0.000117888507130406 4.18327421288834e-05 7.8658984021793e-06 0.598 0.2122 0.0399 0.02
230 0.000170213596612132 6.04002738814286e-05 1.13571543726155e-05 0.000117900047647567 4.18368372756082e-05 7.86666841327411e-06 0.598 0.2122 0.0399 0.02
240 0.000170274239880825 6.04217931149014e-05 1.13612006375333e-05 0.000117910941299154 4.18407028824087e-05 7.86739526394019e-06 0.598 0.2122 0.0399 0.02
250 0.00017033165533475 6.04421669599229e-05 1.13650315348771e-05 0.000117921257070177 4.18443634285811e-05 7.8680835570235e-06 0.598 0.2122 0.0399 0.02
260 0.000170386269753177 6.04615468589034e-05 1.13686755403876e-05 0.000117931072877837 4.18478465630049e-05 7.8687384913473e-06 0.598 0.2122 0.0399 0.02
270 0.000170438281219401 6.04800031016002e-05 1.1372145870659e-05 0.000117940421980042 4.18511640872324e-05 7.86936228595934e-06 0.598 0.2122 0.0399 0.02
280 0.000170488010364376 6.04976494637468e-05 1.13754639189609e-05 0.000117949363868853 4.1854337111991e-05 7.86995891031311e-06 0.598 0.2122 0.0399 0.02
290 0.000170535614900611 6.05145419095479e-05 1.13786402082515e-05 0.000117957924262375 4.18573747633377e-05 7.87053008038255e-06 0.598 0.2122 0.0399 0.02
