#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	volIntegrate(rhoeps)	volIntegrate(rho)
                1	1.0413910464e-01	1.0413930138e-01
                2	1.0413975221e-01	1.0413995103e-01
                3	1.0414039751e-01	1.0414059786e-01
                4	1.0414099224e-01	1.0414119359e-01
                5	1.0414155313e-01	1.0414175515e-01
                6	1.0414209496e-01	1.0414229745e-01
                7	1.0414262546e-01	1.0414282829e-01
                8	1.0414314846e-01	1.0414335155e-01
                9	1.0414366609e-01	1.0414386937e-01
               10	1.0414417978e-01	1.0414438321e-01
               11	1.0414468992e-01	1.0414489346e-01
               12	1.0414519594e-01	1.0414539957e-01
               13	1.0414569959e-01	1.0414590328e-01
               14	1.0414620114e-01	1.0414640489e-01
               15	1.0414670097e-01	1.0414690476e-01
               16	1.0414719903e-01	1.0414740284e-01
               17	1.0414769550e-01	1.0414789933e-01
               18	1.0414819050e-01	1.0414839434e-01
               19	1.0414868392e-01	1.0414888777e-01
               20	1.0414917597e-01	1.0414937982e-01
               21	1.0414966659e-01	1.0414987045e-01
               22	1.0415015581e-01	1.0415035967e-01
               23	1.0415064363e-01	1.0415084747e-01
               24	1.0415112998e-01	1.0415133383e-01
               25	1.0415161473e-01	1.0415181857e-01
               26	1.0415209796e-01	1.0415230179e-01
               27	1.0415257953e-01	1.0415278335e-01
               28	1.0415305933e-01	1.0415326314e-01
               29	1.0415353720e-01	1.0415374100e-01
               30	1.0415401301e-01	1.0415421680e-01
               31	1.0415448667e-01	1.0415469045e-01
               32	1.0415495787e-01	1.0415516164e-01
               33	1.0415542659e-01	1.0415563035e-01
               34	1.0415589261e-01	1.0415609636e-01
               35	1.0415635541e-01	1.0415655915e-01
               36	1.0415681501e-01	1.0415701874e-01
               37	1.0415727106e-01	1.0415747478e-01
               38	1.0415772320e-01	1.0415792691e-01
               39	1.0415817123e-01	1.0415837493e-01
               40	1.0415861499e-01	1.0415881868e-01
               41	1.0415905390e-01	1.0415925758e-01
               42	1.0415948754e-01	1.0415969121e-01
               43	1.0415991581e-01	1.0416011947e-01
               44	1.0416033833e-01	1.0416054198e-01
               45	1.0416075482e-01	1.0416095846e-01
               46	1.0416116481e-01	1.0416136844e-01
               47	1.0416156801e-01	1.0416177163e-01
               48	1.0416196417e-01	1.0416216778e-01
               49	1.0416235319e-01	1.0416255680e-01
               50	1.0416273458e-01	1.0416293818e-01
               51	1.0416310791e-01	1.0416331150e-01
               52	1.0416347293e-01	1.0416367651e-01
               53	1.0416382953e-01	1.0416403310e-01
               54	1.0416417738e-01	1.0416438095e-01
               55	1.0416451624e-01	1.0416471980e-01
               56	1.0416484596e-01	1.0416504950e-01
               57	1.0416516620e-01	1.0416536974e-01
               58	1.0416547709e-01	1.0416568062e-01
               59	1.0416577826e-01	1.0416598179e-01
               60	1.0416607003e-01	1.0416627355e-01
               61	1.0416635192e-01	1.0416655543e-01
               62	1.0416662398e-01	1.0416682748e-01
               63	1.0416688616e-01	1.0416708966e-01
               64	1.0416713838e-01	1.0416734187e-01
               65	1.0416738060e-01	1.0416758409e-01
               66	1.0416761297e-01	1.0416781644e-01
               67	1.0416783547e-01	1.0416803894e-01
               68	1.0416804830e-01	1.0416825176e-01
               69	1.0416825141e-01	1.0416845487e-01
               70	1.0416844513e-01	1.0416864858e-01
               71	1.0416862941e-01	1.0416883285e-01
               72	1.0416880451e-01	1.0416900794e-01
               73	1.0416897038e-01	1.0416917381e-01
               74	1.0416912724e-01	1.0416933067e-01
               75	1.0416927547e-01	1.0416947889e-01
               76	1.0416941521e-01	1.0416961862e-01
               77	1.0416954680e-01	1.0416975021e-01
               78	1.0416967027e-01	1.0416987367e-01
               79	1.0416978575e-01	1.0416998914e-01
               80	1.0416989354e-01	1.0417009693e-01
               81	1.0416999402e-01	1.0417019740e-01
               82	1.0417008737e-01	1.0417029075e-01
               83	1.0417017389e-01	1.0417037727e-01
               84	1.0417025372e-01	1.0417045709e-01
               85	1.0417032723e-01	1.0417053059e-01
               86	1.0417039452e-01	1.0417059787e-01
               87	1.0417045598e-01	1.0417065933e-01
               88	1.0417051175e-01	1.0417071509e-01
               89	1.0417056210e-01	1.0417076544e-01
               90	1.0417060736e-01	1.0417081069e-01
               91	1.0417064768e-01	1.0417085102e-01
               92	1.0417068337e-01	1.0417088670e-01
               93	1.0417071444e-01	1.0417091776e-01
               94	1.0417074138e-01	1.0417094470e-01
               95	1.0417076398e-01	1.0417096730e-01
               96	1.0417078285e-01	1.0417098616e-01
               97	1.0417079812e-01	1.0417100142e-01
               98	1.0417081002e-01	1.0417101332e-01
               99	1.0417081862e-01	1.0417102192e-01
              100	1.0417082409e-01	1.0417102738e-01
              101	1.0417082665e-01	1.0417102994e-01
              102	1.0417082658e-01	1.0417102987e-01
              103	1.0417082379e-01	1.0417102707e-01
              104	1.0417081867e-01	1.0417102195e-01
              105	1.0417081127e-01	1.0417101454e-01
              106	1.0417080176e-01	1.0417100503e-01
              107	1.0417079022e-01	1.0417099349e-01
              108	1.0417077673e-01	1.0417098000e-01
              109	1.0417076145e-01	1.0417096471e-01
              110	1.0417074450e-01	1.0417094775e-01
              111	1.0417072623e-01	1.0417092948e-01
              112	1.0417070635e-01	1.0417090960e-01
              113	1.0417068524e-01	1.0417088848e-01
              114	1.0417066287e-01	1.0417086611e-01
              115	1.0417063935e-01	1.0417084259e-01
              116	1.0417061493e-01	1.0417081817e-01
              117	1.0417058937e-01	1.0417079260e-01
              118	1.0417056295e-01	1.0417076618e-01
              119	1.0417053561e-01	1.0417073883e-01
              120	1.0417050753e-01	1.0417071075e-01
              121	1.0417047883e-01	1.0417068205e-01
              122	1.0417044936e-01	1.0417065258e-01
              123	1.0417041939e-01	1.0417062260e-01
              124	1.0417038887e-01	1.0417059208e-01
              125	1.0417035786e-01	1.0417056107e-01
              126	1.0417032639e-01	1.0417052960e-01
              127	1.0417029442e-01	1.0417049762e-01
              128	1.0417026222e-01	1.0417046541e-01
              129	1.0417022968e-01	1.0417043288e-01
              130	1.0417019656e-01	1.0417039975e-01
              131	1.0417016340e-01	1.0417036659e-01
              132	1.0417012996e-01	1.0417033314e-01
              133	1.0417009643e-01	1.0417029961e-01
              134	1.0417006271e-01	1.0417026589e-01
              135	1.0417002883e-01	1.0417023201e-01
              136	1.0416999482e-01	1.0417019800e-01
              137	1.0416996066e-01	1.0417016384e-01
              138	1.0416992646e-01	1.0417012963e-01
              139	1.0416989224e-01	1.0417009541e-01
              140	1.0416985788e-01	1.0417006105e-01
              141	1.0416982357e-01	1.0417002673e-01
              142	1.0416978917e-01	1.0416999233e-01
              143	1.0416975497e-01	1.0416995813e-01
              144	1.0416972061e-01	1.0416992377e-01
              145	1.0416968639e-01	1.0416988954e-01
              146	1.0416965210e-01	1.0416985526e-01
              147	1.0416961780e-01	1.0416982095e-01
              148	1.0416958375e-01	1.0416978690e-01
              149	1.0416954967e-01	1.0416975282e-01
              150	1.0416951567e-01	1.0416971882e-01
              151	1.0416948165e-01	1.0416968480e-01
              152	1.0416944783e-01	1.0416965097e-01
              153	1.0416941411e-01	1.0416961725e-01
              154	1.0416938047e-01	1.0416958361e-01
              155	1.0416934686e-01	1.0416955000e-01
              156	1.0416931349e-01	1.0416951662e-01
              157	1.0416928011e-01	1.0416948324e-01
              158	1.0416924689e-01	1.0416945002e-01
              159	1.0416921396e-01	1.0416941709e-01
              160	1.0416918100e-01	1.0416938413e-01
              161	1.0416914812e-01	1.0416935124e-01
              162	1.0416911554e-01	1.0416931867e-01
              163	1.0416908301e-01	1.0416928613e-01
              164	1.0416905050e-01	1.0416925362e-01
              165	1.0416901821e-01	1.0416922132e-01
              166	1.0416898596e-01	1.0416918907e-01
              167	1.0416895399e-01	1.0416915711e-01
              168	1.0416892214e-01	1.0416912525e-01
              169	1.0416889046e-01	1.0416909358e-01
              170	1.0416885892e-01	1.0416906204e-01
              171	1.0416882745e-01	1.0416903056e-01
              172	1.0416879621e-01	1.0416899932e-01
              173	1.0416876494e-01	1.0416896805e-01
              174	1.0416873392e-01	1.0416893703e-01
              175	1.0416870307e-01	1.0416890618e-01
              176	1.0416867238e-01	1.0416887549e-01
              177	1.0416864180e-01	1.0416884490e-01
              178	1.0416861135e-01	1.0416881445e-01
              179	1.0416858126e-01	1.0416878436e-01
              180	1.0416855096e-01	1.0416875405e-01
              181	1.0416852097e-01	1.0416872407e-01
              182	1.0416849109e-01	1.0416869419e-01
              183	1.0416846135e-01	1.0416866444e-01
              184	1.0416843182e-01	1.0416863491e-01
              185	1.0416840240e-01	1.0416860549e-01
              186	1.0416837317e-01	1.0416857626e-01
              187	1.0416834394e-01	1.0416854703e-01
              188	1.0416831496e-01	1.0416851804e-01
              189	1.0416828612e-01	1.0416848920e-01
              190	1.0416825746e-01	1.0416846054e-01
              191	1.0416822888e-01	1.0416843196e-01
              192	1.0416820050e-01	1.0416840359e-01
              193	1.0416817232e-01	1.0416837541e-01
              194	1.0416814417e-01	1.0416834725e-01
              195	1.0416811621e-01	1.0416831929e-01
              196	1.0416808830e-01	1.0416829138e-01
              197	1.0416806033e-01	1.0416826341e-01
              198	1.0416803268e-01	1.0416823576e-01
