# Time-averaged data for fix shrink1
# TimeStep c_radreduce1
25 0.035
50 0.035
75 0.035
100 0.035
125 0.035
150 0.035
175 0.035
200 0.035
225 0.035
250 0.035
275 0.035
300 0.035
325 0.035
350 0.035
375 0.035
400 0.035
425 0.035
450 0.035
475 0.035
500 0.035
525 0.035
550 0.035
575 0.035
600 0.035
625 0.035
650 0.035
675 0.035
700 0.035
725 0.035
750 0.035
775 0.035
800 0.035
825 0.035
850 0.035
875 0.035
900 0.035
925 0.035
950 0.035
975 0.035
1000 0.035
1025 0.035
1050 0.035
1075 0.035
1100 0.035
1125 0.035
1150 0.035
1175 0.035
1200 0.035
1225 0.035
1250 0.035
1275 0.035
1300 0.035
1325 0.035
1350 0.035
1375 0.035
1400 0.035
1425 0.035
1450 0.035
1475 0.035
1500 0.035
1525 0.035
1550 0.035
1575 0.035
1600 0.035
1625 0.035
1650 0.035
1675 0.035
1700 0.035
1725 0.035
1750 0.035
1775 0.035
1800 0.035
1825 0.035
1850 0.035
1875 0.035
1900 0.035
1925 0.035
1950 0.035
1975 0.035
2000 0.035
2025 0.035
2050 0.035
2075 0.035
2100 0.035
2125 0.035
2150 0.035
2175 0.035
2200 0.035
2225 0.035
2250 0.035
2275 0.035
2300 0.035
2325 0.035
2350 0.035
2375 0.035
2400 0.035
2425 0.035
2450 0.035
2475 0.035
2500 0.035
2525 0.035
2550 0.035
2575 0.035
2600 0.035
2625 0.035
2650 0.035
2675 0.035
2700 0.035
2725 0.035
2750 0.035
2775 0.035
2800 0.035
2825 0.035
2850 0.035
2875 0.035
2900 0.035
2925 0.035
2950 0.035
2975 0.035
3000 0.035
3025 0.035
3050 0.035
3075 0.035
3100 0.035
3125 0.035
3150 0.035
3175 0.035
3200 0.035
3225 0.035
3250 0.035
3275 0.035
3300 0.035
3325 0.035
3350 0.035
3375 0.035
3400 0.035
3425 0.035
3450 0.035
3475 0.035
3500 0.035
3525 0.035
3550 0.035
3575 0.035
3600 0.035
3625 0.035
3650 0.035
3675 0.035
3700 0.035
3725 0.035
3750 0.035
3775 0.035
3800 0.035
3825 0.035
3850 0.035
3875 0.035
3900 0.035
3925 0.035
3950 0.035
3975 0.035
4000 0.035
4025 0.035
4050 0.035
4075 0.035
4100 0.035
