#time dij1 dij2 dij3 dik1 dik2 dik3 p_fe p_w p_m p_h
200 4.62756096659933e-05 1.64208768747896e-05 3.08762010982223e-06 3.16452451104168e-05 1.1229299351891e-05 2.11144695636486e-06 0.598 0.2122 0.0399 0.02
300 4.64636921835907e-05 1.64876178618032e-05 3.10016942830406e-06 3.16741717946675e-05 1.12395639712857e-05 2.1133770143943e-06 0.598 0.2122 0.0399 0.02
400 4.65878212998795e-05 1.65316650164462e-05 3.10845162184908e-06 3.16931899233789e-05 1.1246312544718e-05 2.11464594973809e-06 0.598 0.2122 0.0399 0.02
500 4.66830869537557e-05 1.6565469985932e-05 3.11480797567795e-06 3.17077476553678e-05 1.12514783486111e-05 2.11561727667179e-06 0.598 0.2122 0.0399 0.02
600 4.67617670170956e-05 1.65933895669366e-05 3.12005769896768e-06 3.17197487860506e-05 1.12557369438132e-05 2.11641802100999e-06 0.598 0.2122 0.0399 0.02
700 4.68294243492622e-05 1.66173977373141e-05 3.1245719590905e-06 3.17300528846938e-05 1.12593933480475e-05 2.11710553528402e-06 0.598 0.2122 0.0399 0.02
800 4.68890540112757e-05 1.6638557292965e-05 3.12855059372987e-06 3.1739122014956e-05 1.12626115243713e-05 2.11771064949382e-06 0.598 0.2122 0.0399 0.02
900 4.69424829241147e-05 1.66575165158822e-05 3.13211549945274e-06 3.17472382671442e-05 1.12654915723886e-05 2.11825218538397e-06 0.598 0.2122 0.0399 0.02
1000 4.6990952692796e-05 1.66747159889827e-05 3.13534951913565e-06 3.17545946081654e-05 1.12681019663095e-05 2.11874301817116e-06 0.598 0.2122 0.0399 0.02
1100 4.70352815022463e-05 1.66904460447777e-05 3.13830724404713e-06 3.17613171215687e-05 1.12704874468182e-05 2.11919156045343e-06 0.598 0.2122 0.0399 0.02
1200 4.70760897106871e-05 1.67049268170705e-05 3.14103006598156e-06 3.17675013707916e-05 1.12726819245524e-05 2.11960418845341e-06 0.598 0.2122 0.0399 0.02
1300 4.71138838187583e-05 1.67183380373593e-05 3.14355177988129e-06 3.17732225291202e-05 1.12747120747152e-05 2.1199859179138e-06 0.598 0.2122 0.0399 0.02
1400 4.71490114562784e-05 1.67308030619108e-05 3.14589558044492e-06 3.17785341402813e-05 1.1276596897271e-05 2.12034032140097e-06 0.598 0.2122 0.0399 0.02
1500 4.71818985914846e-05 1.67424730453401e-05 3.14808988929898e-06 3.178350692931e-05 1.12783614889632e-05 2.12067211785958e-06 0.598 0.2122 0.0399 0.02
1600 4.72126770613883e-05 1.67533947699448e-05 3.15014350292634e-06 3.17881562286728e-05 1.12800112905096e-05 2.1209823303087e-06 0.598 0.2122 0.0399 0.02
1700 4.72415812233522e-05 1.67636513973172e-05 3.15207205821456e-06 3.17925187603384e-05 1.12815593326826e-05 2.12127340892652e-06 0.598 0.2122 0.0399 0.02
