#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	weightedVolAverage(CO2)	weightedVolAverage(CO)	weightedVolAverage(N2)
                1	6.5067186639e-03	3.7196388453e-01	6.2152939680e-01
                2	6.5165080778e-03	3.7195631237e-01	6.2152717955e-01
                3	6.5262923293e-03	3.7194874421e-01	6.2152496346e-01
                4	6.5355190988e-03	3.7194160725e-01	6.2152287365e-01
                5	6.5443625391e-03	3.7193476492e-01	6.2152087254e-01
                6	6.5529612850e-03	3.7192811230e-01	6.2151892641e-01
                7	6.5613967662e-03	3.7192159114e-01	6.2151701210e-01
                8	6.5697082107e-03	3.7191516133e-01	6.2151513046e-01
                9	6.5779343005e-03	3.7190879037e-01	6.2151327533e-01
               10	6.5860935764e-03	3.7190247414e-01	6.2151143229e-01
               11	6.5941974227e-03	3.7189622752e-01	6.2150957506e-01
               12	6.6022056084e-03	3.7189003319e-01	6.2150776120e-01
               13	6.6101775325e-03	3.7188386690e-01	6.2150595557e-01
               14	6.6181169045e-03	3.7187772579e-01	6.2150415731e-01
               15	6.6260263759e-03	3.7187160780e-01	6.2150236583e-01
               16	6.6339079150e-03	3.7186551141e-01	6.2150058067e-01
               17	6.6417629674e-03	3.7185943551e-01	6.2149880152e-01
               18	6.6495925696e-03	3.7185337929e-01	6.2149702814e-01
               19	6.6573973972e-03	3.7184734223e-01	6.2149526037e-01
               20	6.6651778082e-03	3.7184132406e-01	6.2149349813e-01
               21	6.6729338621e-03	3.7183532473e-01	6.2149174141e-01
               22	6.6806653319e-03	3.7182934441e-01	6.2148999026e-01
               23	6.6883717009e-03	3.7182338350e-01	6.2148824479e-01
               24	6.6960521521e-03	3.7181744265e-01	6.2148650520e-01
               25	6.7037055748e-03	3.7181152269e-01	6.2148477173e-01
               26	6.7113305513e-03	3.7180562474e-01	6.2148304471e-01
               27	6.7189253494e-03	3.7179975013e-01	6.2148132452e-01
               28	6.7264879202e-03	3.7179390044e-01	6.2147961164e-01
               29	6.7340159000e-03	3.7178807751e-01	6.2147790659e-01
               30	6.7415066138e-03	3.7178228340e-01	6.2147620998e-01
               31	6.7489570759e-03	3.7177652043e-01	6.2147452250e-01
               32	6.7563640074e-03	3.7177079112e-01	6.2147284487e-01
               33	6.7637238455e-03	3.7176509824e-01	6.2147117792e-01
               34	6.7710327638e-03	3.7175944474e-01	6.2146952250e-01
               35	6.7782866911e-03	3.7175383377e-01	6.2146787954e-01
               36	6.7854813477e-03	3.7174826865e-01	6.2146625000e-01
               37	6.7926122659e-03	3.7174275282e-01	6.2146463491e-01
               38	6.7996748233e-03	3.7173728987e-01	6.2146303531e-01
               39	6.8066642725e-03	3.7173188347e-01	6.2146145226e-01
               40	6.8135757871e-03	3.7172653734e-01	6.2145988687e-01
               41	6.8204044975e-03	3.7172125526e-01	6.2145834024e-01
               42	6.8271455069e-03	3.7171604101e-01	6.2145681348e-01
               43	6.8337939498e-03	3.7171089836e-01	6.2145530769e-01
               44	6.8403450215e-03	3.7170583102e-01	6.2145382396e-01
               45	6.8467940101e-03	3.7170084264e-01	6.2145236335e-01
               46	6.8531363274e-03	3.7169593676e-01	6.2145092691e-01
               47	6.8593675409e-03	3.7169111682e-01	6.2144951564e-01
               48	6.8654834093e-03	3.7168638609e-01	6.2144813050e-01
               49	6.8714799004e-03	3.7168174770e-01	6.2144677240e-01
               50	6.8773532188e-03	3.7167720458e-01	6.2144544220e-01
               51	6.8830998211e-03	3.7167275947e-01	6.2144414071e-01
               52	6.8887164440e-03	3.7166841489e-01	6.2144286866e-01
               53	6.8942001055e-03	3.7166417316e-01	6.2144162674e-01
               54	6.8995481319e-03	3.7166003633e-01	6.2144041553e-01
               55	6.9047581515e-03	3.7165600625e-01	6.2143923559e-01
               56	6.9098281167e-03	3.7165208450e-01	6.2143808738e-01
               57	6.9147563028e-03	3.7164827242e-01	6.2143697128e-01
               58	6.9195413004e-03	3.7164457108e-01	6.2143588762e-01
               59	6.9241820209e-03	3.7164098134e-01	6.2143483664e-01
               60	6.9286776935e-03	3.7163750380e-01	6.2143381851e-01
               61	6.9330278551e-03	3.7163413880e-01	6.2143283335e-01
               62	6.9372323556e-03	3.7163088647e-01	6.2143188117e-01
               63	6.9412913293e-03	3.7162774670e-01	6.2143096197e-01
               64	6.9452052115e-03	3.7162471917e-01	6.2143007562e-01
               65	6.9489747608e-03	3.7162180327e-01	6.2142922197e-01
               66	6.9526009070e-03	3.7161899829e-01	6.2142840080e-01
               67	6.9560848153e-03	3.7161630333e-01	6.2142761185e-01
               68	6.9594279324e-03	3.7161371728e-01	6.2142685479e-01
               69	6.9626319051e-03	3.7161123885e-01	6.2142612924e-01
               70	6.9656986005e-03	3.7160886661e-01	6.2142543479e-01
               71	6.9686300649e-03	3.7160659897e-01	6.2142477096e-01
               72	6.9714285192e-03	3.7160443422e-01	6.2142413726e-01
               73	6.9740963448e-03	3.7160237050e-01	6.2142353315e-01
               74	6.9766360558e-03	3.7160040589e-01	6.2142295806e-01
               75	6.9790503055e-03	3.7159853832e-01	6.2142241138e-01
               76	6.9813418484e-03	3.7159676566e-01	6.2142189249e-01
               77	6.9835135371e-03	3.7159508572e-01	6.2142140074e-01
               78	6.9855683092e-03	3.7159349621e-01	6.2142093548e-01
               79	6.9875091794e-03	3.7159199481e-01	6.2142049601e-01
               80	6.9893392114e-03	3.7159057914e-01	6.2142008165e-01
               81	6.9910615162e-03	3.7158924681e-01	6.2141969168e-01
               82	6.9926792391e-03	3.7158799536e-01	6.2141932540e-01
               83	6.9941955483e-03	3.7158682237e-01	6.2141898208e-01
               84	6.9956136203e-03	3.7158572537e-01	6.2141866101e-01
               85	6.9969366433e-03	3.7158470188e-01	6.2141836147e-01
               86	6.9981677859e-03	3.7158374947e-01	6.2141808274e-01
               87	6.9993102105e-03	3.7158286569e-01	6.2141782410e-01
               88	7.0003670546e-03	3.7158204811e-01	6.2141758484e-01
               89	7.0013414293e-03	3.7158129432e-01	6.2141736425e-01
               90	7.0022364107e-03	3.7158060194e-01	6.2141716165e-01
               91	7.0030550204e-03	3.7157996864e-01	6.2141697634e-01
               92	7.0038002470e-03	3.7157939211e-01	6.2141680764e-01
               93	7.0044750280e-03	3.7157887007e-01	6.2141665491e-01
               94	7.0050822358e-03	3.7157840030e-01	6.2141651747e-01
               95	7.0056246884e-03	3.7157798062e-01	6.2141639470e-01
               96	7.0061051420e-03	3.7157760890e-01	6.2141628596e-01
               97	7.0065262868e-03	3.7157728305e-01	6.2141619066e-01
               98	7.0068907455e-03	3.7157700106e-01	6.2141610819e-01
               99	7.0072010724e-03	3.7157676095e-01	6.2141603798e-01
              100	7.0074597469e-03	3.7157656078e-01	6.2141597947e-01
              101	7.0076691796e-03	3.7157639871e-01	6.2141593211e-01
              102	7.0078317115e-03	3.7157627292e-01	6.2141589537e-01
              103	7.0079496039e-03	3.7157618167e-01	6.2141586873e-01
              104	7.0080250493e-03	3.7157612324e-01	6.2141585171e-01
              105	7.0080601699e-03	3.7157609601e-01	6.2141584382e-01
              106	7.0080570058e-03	3.7157609840e-01	6.2141584459e-01
              107	7.0080175375e-03	3.7157612887e-01	6.2141585359e-01
              108	7.0079436637e-03	3.7157618596e-01	6.2141587038e-01
              109	7.0078372156e-03	3.7157626824e-01	6.2141589454e-01
              110	7.0076999579e-03	3.7157637436e-01	6.2141592568e-01
              111	7.0075335787e-03	3.7157650301e-01	6.2141596342e-01
              112	7.0073397069e-03	3.7157665292e-01	6.2141600737e-01
              113	7.0071199005e-03	3.7157682289e-01	6.2141605720e-01
              114	7.0068756538e-03	3.7157701178e-01	6.2141611257e-01
              115	7.0066083935e-03	3.7157721846e-01	6.2141617314e-01
              116	7.0063194970e-03	3.7157744189e-01	6.2141623862e-01
              117	7.0060102735e-03	3.7157768103e-01	6.2141630869e-01
              118	7.0056819755e-03	3.7157793494e-01	6.2141638309e-01
              119	7.0053357941e-03	3.7157820268e-01	6.2141646153e-01
              120	7.0049728727e-03	3.7157848336e-01	6.2141654376e-01
              121	7.0045943048e-03	3.7157877616e-01	6.2141662954e-01
              122	7.0042011227e-03	3.7157908026e-01	6.2141671862e-01
              123	7.0037943162e-03	3.7157939489e-01	6.2141681079e-01
              124	7.0033748261e-03	3.7157971934e-01	6.2141690583e-01
              125	7.0029435392e-03	3.7158005292e-01	6.2141700354e-01
              126	7.0025013116e-03	3.7158039496e-01	6.2141710373e-01
              127	7.0020489466e-03	3.7158074484e-01	6.2141720621e-01
              128	7.0015872089e-03	3.7158110198e-01	6.2141731081e-01
              129	7.0011168260e-03	3.7158146580e-01	6.2141741737e-01
              130	7.0006384891e-03	3.7158183578e-01	6.2141752574e-01
              131	7.0001528445e-03	3.7158221140e-01	6.2141763575e-01
              132	6.9996605099e-03	3.7158259221e-01	6.2141774728e-01
              133	6.9991620732e-03	3.7158297774e-01	6.2141786019e-01
              134	6.9986580830e-03	3.7158336756e-01	6.2141797436e-01
              135	6.9981490605e-03	3.7158376127e-01	6.2141808967e-01
              136	6.9976355065e-03	3.7158415850e-01	6.2141820600e-01
              137	6.9971178820e-03	3.7158455887e-01	6.2141832325e-01
              138	6.9965966243e-03	3.7158496205e-01	6.2141844133e-01
              139	6.9960721489e-03	3.7158536772e-01	6.2141856013e-01
              140	6.9955448420e-03	3.7158577558e-01	6.2141867958e-01
              141	6.9950150735e-03	3.7158618535e-01	6.2141879958e-01
              142	6.9944831903e-03	3.7158659675e-01	6.2141892006e-01
              143	6.9939495125e-03	3.7158700954e-01	6.2141904094e-01
              144	6.9934143435e-03	3.7158742349e-01	6.2141916217e-01
              145	6.9928779651e-03	3.7158783837e-01	6.2141928366e-01
              146	6.9923406505e-03	3.7158825398e-01	6.2141940537e-01
              147	6.9918026535e-03	3.7158867011e-01	6.2141952723e-01
              148	6.9912642065e-03	3.7158908660e-01	6.2141964920e-01
              149	6.9907255276e-03	3.7158950326e-01	6.2141977121e-01
              150	6.9901868197e-03	3.7158991995e-01	6.2141989323e-01
              151	6.9896482815e-03	3.7159033650e-01	6.2142001522e-01
              152	6.9891100876e-03	3.7159075279e-01	6.2142013712e-01
              153	6.9885724083e-03	3.7159116868e-01	6.2142025891e-01
              154	6.9880353969e-03	3.7159158406e-01	6.2142038054e-01
              155	6.9874992000e-03	3.7159199880e-01	6.2142050200e-01
              156	6.9869639472e-03	3.7159241282e-01	6.2142062323e-01
              157	6.9864297670e-03	3.7159282601e-01	6.2142074423e-01
              158	6.9858967696e-03	3.7159323828e-01	6.2142086495e-01
              159	6.9853650691e-03	3.7159364955e-01	6.2142098538e-01
              160	6.9848347602e-03	3.7159405974e-01	6.2142110550e-01
              161	6.9843059383e-03	3.7159446878e-01	6.2142122528e-01
              162	6.9837786777e-03	3.7159487662e-01	6.2142134471e-01
              163	6.9832530602e-03	3.7159528318e-01	6.2142146376e-01
              164	6.9827291541e-03	3.7159568842e-01	6.2142158242e-01
              165	6.9822070278e-03	3.7159609229e-01	6.2142170069e-01
              166	6.9816867383e-03	3.7159649473e-01	6.2142181853e-01
              167	6.9811683404e-03	3.7159689571e-01	6.2142193595e-01
              168	6.9806518789e-03	3.7159729519e-01	6.2142205293e-01
              169	6.9801374025e-03	3.7159769314e-01	6.2142216946e-01
              170	6.9796249467e-03	3.7159808953e-01	6.2142228553e-01
              171	6.9791145483e-03	3.7159848432e-01	6.2142240113e-01
              172	6.9786062391e-03	3.7159887750e-01	6.2142251626e-01
              173	6.9781000461e-03	3.7159926904e-01	6.2142263092e-01
              174	6.9775959925e-03	3.7159965892e-01	6.2142274508e-01
              175	6.9770941032e-03	3.7160004714e-01	6.2142285876e-01
              176	6.9765943955e-03	3.7160043366e-01	6.2142297194e-01
              177	6.9760968847e-03	3.7160081849e-01	6.2142308463e-01
              178	6.9756015816e-03	3.7160120160e-01	6.2142319681e-01
              179	6.9751085003e-03	3.7160158300e-01	6.2142330850e-01
