#time dij1 dij2 dij3 dik1 dik2 dik3 p_fe p_w p_m p_h
200 4.60584747680649e-05 1.63438266651902e-05 3.0731323465658e-06 3.1602563436485e-05 1.12141537813085e-05 2.10859913230152e-06 0.598 0.2122 0.0399 0.02
300 4.62712212073355e-05 1.64193196324364e-05 3.08732730129305e-06 3.16350879142397e-05 1.12256950759231e-05 2.11076924377712e-06 0.598 0.2122 0.0399 0.02
400 4.64171240893475e-05 1.64710931969229e-05 3.09706229291893e-06 3.16572951009545e-05 1.12335752849882e-05 2.11225096075024e-06 0.598 0.2122 0.0399 0.02
500 4.65317202525813e-05 1.65117575879567e-05 3.10470842488052e-06 3.16746898991268e-05 1.12397478203931e-05 2.11341158357143e-06 0.598 0.2122 0.0399 0.02
600 4.662738124929e-05 1.65457028446484e-05 3.11109115693516e-06 3.1689174881451e-05 1.12448878091042e-05 2.11437805647233e-06 0.598 0.2122 0.0399 0.02
700 4.67100611246719e-05 1.65750417569494e-05 3.11660775731599e-06 3.17016705313888e-05 1.12493218842159e-05 2.11521179632604e-06 0.598 0.2122 0.0399 0.02
800 4.67829990772924e-05 1.66009237528459e-05 3.12147435315138e-06 3.17126736873982e-05 1.12532263486058e-05 2.11594595339088e-06 0.598 0.2122 0.0399 0.02
900 4.68483469618571e-05 1.66241124169004e-05 3.12583452136899e-06 3.17225189884286e-05 1.12567199487373e-05 2.11660285558337e-06 0.598 0.2122 0.0399 0.02
1000 4.69075022306211e-05 1.66451036343448e-05 3.12978150334839e-06 3.17314207425702e-05 1.12598787317287e-05 2.11719680205537e-06 0.598 0.2122 0.0399 0.02
1100 4.69614822446688e-05 1.66642584152493e-05 3.13338317987098e-06 3.17395350278847e-05 1.12627580818019e-05 2.11773820671097e-06 0.598 0.2122 0.0399 0.02
1200 4.70109999237348e-05 1.66818297388243e-05 3.13668711865815e-06 3.17469687142654e-05 1.12653959216848e-05 2.1182342001668e-06 0.598 0.2122 0.0399 0.02
1300 4.70566672958254e-05 1.66980347829006e-05 3.13973415569229e-06 3.17538192296693e-05 1.12678268236391e-05 2.11869128305077e-06 0.598 0.2122 0.0399 0.02
1400 4.70990494814266e-05 1.67130740801992e-05 3.14256199717304e-06 3.17601716031372e-05 1.12700809601774e-05 2.11911512870524e-06 0.598 0.2122 0.0399 0.02
1500 4.7138500944231e-05 1.67270734119836e-05 3.14519429377153e-06 3.17660774314388e-05 1.12721766403875e-05 2.11950917979091e-06 0.598 0.2122 0.0399 0.02
1600 4.71753643129214e-05 1.67401543598701e-05 3.14765390649853e-06 3.17715917775075e-05 1.12741334033235e-05 2.11987711023931e-06 0.598 0.2122 0.0399 0.02
1700 4.72099296350503e-05 1.6752419847087e-05 3.14996018802519e-06 3.17767593549932e-05 1.12759671156019e-05 2.12022190345282e-06 0.598 0.2122 0.0399 0.02
1800 4.724238665752e-05 1.67639372052276e-05 3.15212579872175e-06 3.1781607136386e-05 1.12776873483971e-05 2.12054535910093e-06 0.598 0.2122 0.0399 0.02
1900 4.72729642023888e-05 1.67747876316844e-05 3.15416600614694e-06 3.17861710246703e-05 1.12793068418653e-05 2.12084987271723e-06 0.598 0.2122 0.0399 0.02
2000 4.73018999660407e-05 1.67850554729e-05 3.15609666997589e-06 3.17904896156853e-05 1.12808392917204e-05 2.12113801950903e-06 0.598 0.2122 0.0399 0.02
2100 4.73292324028486e-05 1.67947543743894e-05 3.15792035597695e-06 3.17945641168679e-05 1.1282285126421e-05 2.12140988003944e-06 0.598 0.2122 0.0399 0.02
2200 4.7355194497355e-05 1.68039670106005e-05 3.15965260943984e-06 3.1798433853133e-05 1.12836583003933e-05 2.12166807816148e-06 0.598 0.2122 0.0399 0.02
2300 4.73798426780861e-05 1.68127134051677e-05 3.16129719541169e-06 3.18021049283516e-05 1.1284960979593e-05 2.12191302114011e-06 0.598 0.2122 0.0399 0.02
2400 4.74033587282003e-05 1.68210580637533e-05 3.16286624290259e-06 3.18056079685821e-05 1.12862040316614e-05 2.1221467524197e-06 0.598 0.2122 0.0399 0.02
2500 4.74257681886829e-05 1.68290100495634e-05 3.16436145606857e-06 3.18089440952903e-05 1.12873878545501e-05 2.12236934682716e-06 0.598 0.2122 0.0399 0.02
2600 4.74471468286571e-05 1.68365962492331e-05 3.16578789040799e-06 3.1812124464918e-05 1.1288516407117e-05 2.12258154874713e-06 0.598 0.2122 0.0399 0.02
2700 4.74675764596985e-05 1.68438456935592e-05 3.16715100458617e-06 3.18151617488508e-05 1.12895941857969e-05 2.12278420364499e-06 0.598 0.2122 0.0399 0.02
2800 4.74871862999239e-05 1.68508042355255e-05 3.16845942034703e-06 3.18180779739195e-05 1.12906290067995e-05 2.12297878120393e-06 0.598 0.2122 0.0399 0.02
2900 4.75059235097322e-05 1.6857453125026e-05 3.16970961210514e-06 3.18208605677291e-05 1.12916164088169e-05 2.12316444256346e-06 0.598 0.2122 0.0399 0.02
3000 4.75239514313666e-05 1.68638503239739e-05 3.17091247844831e-06 3.18235385817686e-05 1.12925667007553e-05 2.12334312610891e-06 0.598 0.2122 0.0399 0.02
3100 4.75413064024314e-05 1.68700087267497e-05 3.17207044390898e-06 3.18261169491262e-05 1.12934816331187e-05 2.12351516098778e-06 0.598 0.2122 0.0399 0.02
3200 4.75579377049581e-05 1.68759103361078e-05 3.17318012446218e-06 3.18285840884755e-05 1.12943570962791e-05 2.1236797744661e-06 0.598 0.2122 0.0399 0.02
3300 4.75740419898165e-05 1.68816249335108e-05 3.17425464112748e-06 3.18309759893122e-05 1.1295205861091e-05 2.12383936784969e-06 0.598 0.2122 0.0399 0.02
3400 4.75895318491278e-05 1.68871215023166e-05 3.17528816184073e-06 3.18332743768739e-05 1.12960214427643e-05 2.12399272180239e-06 0.598 0.2122 0.0399 0.02
3500 4.76044485386906e-05 1.68924146821246e-05 3.17628343928815e-06 3.18354857347723e-05 1.12968061420051e-05 2.12414026892637e-06 0.598 0.2122 0.0399 0.02
3600 4.76188409935138e-05 1.68975218374983e-05 3.17724373853137e-06 3.18376181302382e-05 1.12975628214664e-05 2.12428254748673e-06 0.598 0.2122 0.0399 0.02
3700 4.76327746569434e-05 1.69024661909762e-05 3.17817342610803e-06 3.18396828632224e-05 1.12982954909301e-05 2.12442031144337e-06 0.598 0.2122 0.0399 0.02
3800 4.76462606845422e-05 1.69072517011041e-05 3.17907324634414e-06 3.18416809664085e-05 1.12990045168433e-05 2.12455362969943e-06 0.598 0.2122 0.0399 0.02
3900 4.76592921731585e-05 1.6911875918302e-05 3.17994273864478e-06 3.18436101064956e-05 1.12996890712354e-05 2.12468234657146e-06 0.598 0.2122 0.0399 0.02
4000 4.76719615332206e-05 1.69163716343642e-05 3.18078806885629e-06 3.18454869879981e-05 1.1300355081695e-05 2.12480757662489e-06 0.598 0.2122 0.0399 0.02
4100 4.76842571426727e-05 1.69207347252099e-05 3.18160846152709e-06 3.18473085095823e-05 1.13010014477153e-05 2.12492911293125e-06 0.598 0.2122 0.0399 0.02
4200 4.76961390632283e-05 1.69249510187583e-05 3.18240125187854e-06 3.18490662123516e-05 1.13016251676612e-05 2.12504639109262e-06 0.598 0.2122 0.0399 0.02
4300 4.7707721573171e-05 1.69290610666008e-05 3.18317406483291e-06 3.1850781205008e-05 1.13022337319449e-05 2.1251608195324e-06 0.598 0.2122 0.0399 0.02
4400 4.77189727024148e-05 1.69330535241686e-05 3.18392476726908e-06 3.18524466594132e-05 1.13028247176051e-05 2.12527194266078e-06 0.598 0.2122 0.0399 0.02
4500 4.77298581688571e-05 1.69369162264747e-05 3.1846510718026e-06 3.18540553718209e-05 1.1303395568396e-05 2.12537927982644e-06 0.598 0.2122 0.0399 0.02
4600 4.77404930552845e-05 1.69406900105882e-05 3.18536065703413e-06 3.18556286842021e-05 1.13039538575051e-05 2.12548425501709e-06 0.598 0.2122 0.0399 0.02
4700 4.77508266419403e-05 1.6944356878629e-05 3.18605013881936e-06 3.18571563345855e-05 1.13044959434773e-05 2.1255861835293e-06 0.598 0.2122 0.0399 0.02
4800 4.77608470335934e-05 1.69479126095801e-05 3.18671872347982e-06 3.18586355437326e-05 1.13050208401011e-05 2.12568487992557e-06 0.598 0.2122 0.0399 0.02
4900 4.77706964467639e-05 1.69514076689025e-05 3.18737590004421e-06 3.18600928964883e-05 1.13055379809953e-05 2.12578211801077e-06 0.598 0.2122 0.0399 0.02
5000 4.77802693783981e-05 1.69548046188904e-05 3.18801462909472e-06 3.18615078136438e-05 1.13060400636381e-05 2.12587652469054e-06 0.598 0.2122 0.0399 0.02
5100 4.77896363698502e-05 1.6958128491108e-05 3.18863961732037e-06 3.18628932900913e-05 1.13065316992605e-05 2.12596896701538e-06 0.598 0.2122 0.0399 0.02
5200 4.77987457824845e-05 1.69613609616114e-05 3.18924741926704e-06 3.1864239045488e-05 1.13070092398879e-05 2.12605875905607e-06 0.598 0.2122 0.0399 0.02
5300 4.78076510095989e-05 1.69645209769854e-05 3.18984159746414e-06 3.18655549013206e-05 1.13074761706699e-05 2.12614655612583e-06 0.598 0.2122 0.0399 0.02
5400 4.78163184977754e-05 1.69675966308166e-05 3.19041991314682e-06 3.186683406436e-05 1.13079300810328e-05 2.12623190496409e-06 0.598 0.2122 0.0399 0.02
5500 4.78247834098542e-05 1.69706004006212e-05 3.19098471246445e-06 3.18680828893478e-05 1.13083732259531e-05 2.12631522957447e-06 0.598 0.2122 0.0399 0.02
5600 4.78330917880147e-05 1.69735486244433e-05 3.19153906746211e-06 3.1869309802979e-05 1.13088085956397e-05 2.12639709220639e-06 0.598 0.2122 0.0399 0.02
