#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	volIntegrate(rhoeps)	volIntegrate(rho)
                1	1.0465922145e-01	1.0465941916e-01
                2	1.0465994528e-01	1.0466014531e-01
                3	1.0466066667e-01	1.0466086841e-01
                4	1.0466134592e-01	1.0466154880e-01
                5	1.0466199631e-01	1.0466219998e-01
                6	1.0466262840e-01	1.0466283264e-01
                7	1.0466324871e-01	1.0466345337e-01
                8	1.0466385999e-01	1.0466406496e-01
                9	1.0466446489e-01	1.0466467010e-01
               10	1.0466506489e-01	1.0466527028e-01
               11	1.0466566108e-01	1.0466586661e-01
               12	1.0466625186e-01	1.0466645749e-01
               13	1.0466684005e-01	1.0466704576e-01
               14	1.0466742586e-01	1.0466763164e-01
               15	1.0466800946e-01	1.0466821528e-01
               16	1.0466859106e-01	1.0466879692e-01
               17	1.0466917088e-01	1.0466937676e-01
               18	1.0466974895e-01	1.0466995485e-01
               19	1.0467032523e-01	1.0467053114e-01
               20	1.0467089994e-01	1.0467110586e-01
               21	1.0467147297e-01	1.0467167889e-01
               22	1.0467204440e-01	1.0467225032e-01
               23	1.0467261411e-01	1.0467282003e-01
               24	1.0467318221e-01	1.0467338811e-01
               25	1.0467374846e-01	1.0467395436e-01
               26	1.0467431299e-01	1.0467451888e-01
               27	1.0467487555e-01	1.0467508143e-01
               28	1.0467543601e-01	1.0467564188e-01
               29	1.0467599444e-01	1.0467620031e-01
               30	1.0467655062e-01	1.0467675647e-01
               31	1.0467710356e-01	1.0467730940e-01
               32	1.0467765428e-01	1.0467786012e-01
               33	1.0467820143e-01	1.0467840725e-01
               34	1.0467874554e-01	1.0467895135e-01
               35	1.0467928605e-01	1.0467949184e-01
               36	1.0467982272e-01	1.0468002850e-01
               37	1.0468035533e-01	1.0468056111e-01
               38	1.0468088345e-01	1.0468108921e-01
               39	1.0468140682e-01	1.0468161258e-01
               40	1.0468192505e-01	1.0468213079e-01
               41	1.0468243772e-01	1.0468264346e-01
               42	1.0468294452e-01	1.0468315024e-01
               43	1.0468344490e-01	1.0468365061e-01
               44	1.0468393864e-01	1.0468414434e-01
               45	1.0468442534e-01	1.0468463103e-01
               46	1.0468490463e-01	1.0468511031e-01
               47	1.0468537649e-01	1.0468558217e-01
               48	1.0468583952e-01	1.0468604518e-01
               49	1.0468629412e-01	1.0468649977e-01
               50	1.0468674016e-01	1.0468694580e-01
               51	1.0468717665e-01	1.0468738228e-01
               52	1.0468760375e-01	1.0468780937e-01
               53	1.0468802091e-01	1.0468822652e-01
               54	1.0468842788e-01	1.0468863348e-01
               55	1.0468882459e-01	1.0468903018e-01
               56	1.0468921075e-01	1.0468941634e-01
               57	1.0468958618e-01	1.0468979176e-01
               58	1.0468995046e-01	1.0469015603e-01
               59	1.0469030365e-01	1.0469050922e-01
               60	1.0469064543e-01	1.0469085099e-01
               61	1.0469097599e-01	1.0469118154e-01
               62	1.0469129553e-01	1.0469150106e-01
               63	1.0469160343e-01	1.0469180896e-01
               64	1.0469189997e-01	1.0469210549e-01
               65	1.0469218483e-01	1.0469239035e-01
               66	1.0469245818e-01	1.0469266368e-01
               67	1.0469272014e-01	1.0469292564e-01
               68	1.0469297075e-01	1.0469317625e-01
               69	1.0469321005e-01	1.0469341554e-01
               70	1.0469343834e-01	1.0469364382e-01
               71	1.0469365560e-01	1.0469386107e-01
               72	1.0469386218e-01	1.0469406764e-01
               73	1.0469405807e-01	1.0469426353e-01
               74	1.0469424365e-01	1.0469444911e-01
               75	1.0469441897e-01	1.0469462441e-01
               76	1.0469458428e-01	1.0469478972e-01
               77	1.0469474006e-01	1.0469494550e-01
               78	1.0469488625e-01	1.0469509168e-01
               79	1.0469502350e-01	1.0469522893e-01
               80	1.0469515191e-01	1.0469535733e-01
               81	1.0469527162e-01	1.0469547703e-01
               82	1.0469538287e-01	1.0469558828e-01
               83	1.0469548626e-01	1.0469569166e-01
               84	1.0469558172e-01	1.0469578711e-01
               85	1.0469566982e-01	1.0469587521e-01
               86	1.0469575070e-01	1.0469595608e-01
               87	1.0469582471e-01	1.0469603008e-01
               88	1.0469589213e-01	1.0469609750e-01
               89	1.0469595320e-01	1.0469615857e-01
               90	1.0469600810e-01	1.0469621345e-01
               91	1.0469605727e-01	1.0469626262e-01
               92	1.0469610084e-01	1.0469630619e-01
               93	1.0469613919e-01	1.0469634454e-01
               94	1.0469617263e-01	1.0469637797e-01
               95	1.0469620124e-01	1.0469640658e-01
               96	1.0469622538e-01	1.0469643071e-01
               97	1.0469624513e-01	1.0469645046e-01
               98	1.0469626072e-01	1.0469646604e-01
               99	1.0469627238e-01	1.0469647770e-01
              100	1.0469628065e-01	1.0469648596e-01
              101	1.0469628543e-01	1.0469649073e-01
              102	1.0469628700e-01	1.0469649230e-01
              103	1.0469628542e-01	1.0469649072e-01
              104	1.0469628096e-01	1.0469648625e-01
              105	1.0469627385e-01	1.0469647914e-01
              106	1.0469626424e-01	1.0469646953e-01
              107	1.0469625210e-01	1.0469645738e-01
              108	1.0469623781e-01	1.0469644309e-01
              109	1.0469622153e-01	1.0469642680e-01
              110	1.0469620321e-01	1.0469640847e-01
              111	1.0469618301e-01	1.0469638828e-01
              112	1.0469616121e-01	1.0469636647e-01
              113	1.0469613753e-01	1.0469634279e-01
              114	1.0469611250e-01	1.0469631776e-01
              115	1.0469608606e-01	1.0469629131e-01
              116	1.0469605848e-01	1.0469626373e-01
              117	1.0469602963e-01	1.0469623487e-01
              118	1.0469599974e-01	1.0469620497e-01
              119	1.0469596874e-01	1.0469617397e-01
              120	1.0469593690e-01	1.0469614213e-01
              121	1.0469590413e-01	1.0469610936e-01
              122	1.0469587066e-01	1.0469607589e-01
              123	1.0469583640e-01	1.0469604163e-01
              124	1.0469580135e-01	1.0469600657e-01
              125	1.0469576567e-01	1.0469597088e-01
              126	1.0469572954e-01	1.0469593475e-01
              127	1.0469569290e-01	1.0469589811e-01
              128	1.0469565584e-01	1.0469586105e-01
              129	1.0469561826e-01	1.0469582346e-01
              130	1.0469558044e-01	1.0469578564e-01
              131	1.0469554230e-01	1.0469574750e-01
              132	1.0469550380e-01	1.0469570900e-01
              133	1.0469546510e-01	1.0469567029e-01
              134	1.0469542617e-01	1.0469563136e-01
              135	1.0469538704e-01	1.0469559222e-01
              136	1.0469534769e-01	1.0469555287e-01
