#  Region type : all 
#       Cells  : 2349
#       Volume : 3.7500000000e-01
#            Time	weightedVolAverage(CO2)	weightedVolAverage(CO)	weightedVolAverage(N2)
                1	0.0000000000e+00	4.0000000000e-01	6.0000000000e-01
                2	1.1218445133e-05	3.9999122866e-01	5.9999755290e-01
                3	2.2438923609e-05	3.9998245573e-01	5.9999510535e-01
                4	3.3005057678e-05	3.9997419441e-01	5.9999280053e-01
                5	4.3119616913e-05	3.9996628386e-01	5.9999059652e-01
                6	5.2945691301e-05	3.9995859943e-01	5.9998845488e-01
                7	6.2579384276e-05	3.9995107114e-01	5.9998634947e-01
                8	7.2067659278e-05	3.9994365156e-01	5.9998428078e-01
                9	8.1455932872e-05	3.9993630171e-01	5.9998224236e-01
               10	9.0766203408e-05	3.9992901650e-01	5.9998021730e-01
               11	1.0001253818e-04	3.9992181106e-01	5.9997817641e-01
               12	1.0914876468e-04	3.9991466778e-01	5.9997618346e-01
               13	1.1824364514e-04	3.9990755682e-01	5.9997419953e-01
               14	1.2730174401e-04	3.9990047462e-01	5.9997222364e-01
               15	1.3632633300e-04	3.9989341861e-01	5.9997025506e-01
               16	1.4531983815e-04	3.9988638690e-01	5.9996829326e-01
               17	1.5428405518e-04	3.9987937809e-01	5.9996633785e-01
               18	1.6322026971e-04	3.9987239117e-01	5.9996438856e-01
               19	1.7212933274e-04	3.9986542548e-01	5.9996244519e-01
               20	1.8101170325e-04	3.9985848066e-01	5.9996050764e-01
               21	1.8986747437e-04	3.9985155663e-01	5.9995857590e-01
               22	1.9869640679e-04	3.9984465358e-01	5.9995665001e-01
               23	2.0749791921e-04	3.9983777197e-01	5.9995473011e-01
               24	2.1627108362e-04	3.9983091253e-01	5.9995281639e-01
               25	2.2501462443e-04	3.9982407624e-01	5.9995090913e-01
               26	2.3372690228e-04	3.9981726440e-01	5.9994900870e-01
               27	2.4240592479e-04	3.9981047855e-01	5.9994711552e-01
               28	2.5104933573e-04	3.9980372055e-01	5.9994523011e-01
               29	2.5965441842e-04	3.9979699251e-01	5.9994335307e-01
               30	2.6821809266e-04	3.9979029685e-01	5.9994148506e-01
               31	2.7673691169e-04	3.9978363626e-01	5.9993962683e-01
               32	2.8520712955e-04	3.9977701366e-01	5.9993777921e-01
               33	2.9362462859e-04	3.9977043228e-01	5.9993594309e-01
               34	3.0198502913e-04	3.9976389554e-01	5.9993411943e-01
               35	3.1028366378e-04	3.9975740709e-01	5.9993230925e-01
               36	3.1851562340e-04	3.9975097077e-01	5.9993051361e-01
               37	3.2667578502e-04	3.9974459058e-01	5.9992873363e-01
               38	3.3475885133e-04	3.9973827067e-01	5.9992697048e-01
               39	3.4275938293e-04	3.9973201528e-01	5.9992522533e-01
               40	3.5067185859e-04	3.9972582874e-01	5.9992349940e-01
               41	3.5849068538e-04	3.9971971542e-01	5.9992179389e-01
               42	3.6621027679e-04	3.9971367968e-01	5.9992011004e-01
               43	3.7382504509e-04	3.9970772590e-01	5.9991844906e-01
               44	3.8132949979e-04	3.9970185836e-01	5.9991681214e-01
