#time dij1 dij2 dij3 dik1 dik2 dik3 p_fe p_w p_m p_h
110 0.00229458643096531 0.00081423606965023 0.000153104998487484 0.00157969136721336 0.000560555914920862 0.000105405478347514 29.9 10.61 1.995 1
120 0.00226776766742792 0.000804719444863219 0.00015131558600397 0.00157506851998616 0.000558915499901442 0.000105097030848575 29.9 10.61 1.995 1
130 0.00225802298544815 0.000801261549351334 0.000150665397356825 0.0015734098044163 0.000558326905513609 0.000104986357351522 29.9 10.61 1.995 1
140 0.00224979030011612 0.000798340185091372 0.000150116092766945 0.00157196878711735 0.000557815561247995 0.000104890209207328 29.9 10.61 1.995 1
150 0.00224229042743171 0.000795678859031786 0.000149615683201547 0.00157063108046954 0.000557340876715112 0.000104800954198553 29.9 10.61 1.995 1
160 0.00223587115263746 0.000793400982591418 0.000149187373729489 0.00156948656003631 0.000556934744213553 0.000104724589039212 29.9 10.61 1.995 1
170 0.00223037078286459 0.0007914491791369 0.000148820375813206 0.00156851292345836 0.000556589249762314 0.000104659625662188 29.9 10.61 1.995 1
180 0.00222548244850708 0.000789714556142478 0.000148494214373633 0.00156764906246881 0.000556282709123548 0.000104601986776765 29.9 10.61 1.995 1
190 0.00222104872672952 0.000788141252193987 0.000148198385780113 0.00156685972653817 0.000556002613664549 0.000104549320382731 29.9 10.61 1.995 1
200 0.00221702633631487 0.00078671390897327 0.000147930002205624 0.0015661342797731 0.0005557451892439 0.00010450091682767 29.9 10.61 1.995 1
210 0.00221337970430524 0.000785419903434068 0.000147686690136755 0.00156546682437709 0.000555508343031468 0.000104456382596398 29.9 10.61 1.995 1
220 0.00221004304580114 0.000784235891837796 0.000147464060246598 0.00156484692342789 0.000555288371490631 0.000104415021312329 29.9 10.61 1.995 1
230 0.00220694680491553 0.000783137192312835 0.000147257471598879 0.00156426321247679 0.000555081241952467 0.00010437607471208 29.9 10.61 1.995 1
240 0.00220404857062084 0.000782108755327328 0.000147064094427711 0.00156370904704822 0.000554884596628148 0.000104339099460241 29.9 10.61 1.995 1
250 0.00220134224774632 0.000781148418012991 0.000146883522048625 0.00156318447521384 0.00055469845257588 0.000104304098764268 29.9 10.61 1.995 1
260 0.00219884122007769 0.000780260929599475 0.000146716647460033 0.0015626932337105 0.000554524135774864 0.000104271321948242 29.9 10.61 1.995 1
270 0.00219655839409403 0.000779450869944404 0.000146564331813297 0.00156223896706749 0.000554362939484484 0.000104241012183935 29.9 10.61 1.995 1
280 0.00219449606225378 0.000778719052525506 0.000146426728066766 0.00156182320622799 0.000554215406959163 0.00010421327161956 29.9 10.61 1.995 1
290 0.00219264199789069 0.000778061138716395 0.000146303020427824 0.0015614445193199 0.000554081030099803 0.000104188004717164 29.9 10.61 1.995 1
300 0.00219097383896955 0.000777469193360098 0.000146191716847634 0.00156109932886447 0.000553958539439868 0.00010416497277875 29.9 10.61 1.995 1
310 0.00218947710363538 0.000776938077577638 0.000146091851061959 0.00156078595627505 0.000553847339333721 0.000104144063804974 29.9 10.61 1.995 1
320 0.00218812749205172 0.00077645916858424 0.000146001801727197 0.00156050028887483 0.000553745970400067 0.000104125003388137 29.9 10.61 1.995 1
330 0.00218688539977243 0.000776018412762056 0.000145918926339331 0.00156023377053312 0.000553651396500216 0.000104107220642595 29.9 10.61 1.995 1
340 0.00218573608432717 0.000775610578752886 0.000145842241245241 0.00155998409830942 0.000553562800436889 0.000104090561910612 29.9 10.61 1.995 1
350 0.0021846706656496 0.00077523251546964 0.000145771153945517 0.00155975011472071 0.000553479771477815 0.000104074949962134 29.9 10.61 1.995 1
360 0.00218367820347424 0.000774880340764604 0.000145704934479301 0.00155953000218064 0.000553401664653398 0.000104060263523424 29.9 10.61 1.995 1
370 0.00218274733498033 0.000774550022546534 0.000145642824691832 0.00155932172436375 0.000553327757374561 0.000104046366725942 29.9 10.61 1.995 1
380 0.00218186965272742 0.000774238577439396 0.000145584263618435 0.00155912378667099 0.000553257519283585 0.000104033159846442 29.9 10.61 1.995 1
390 0.00218104021630671 0.00077394425234161 0.00014552892162314 0.00155893535665909 0.000553190654988391 0.000104020587342304 29.9 10.61 1.995 1
400 0.00218025618394026 0.000773666038849704 0.000145476609095679 0.00155875599700711 0.000553127009305869 0.000104008620034421 29.9 10.61 1.995 1
410 0.00217951516727544 0.000773403089457941 0.000145427166679415 0.00155858533560287 0.000553066450192189 0.000103997233094573 29.9 10.61 1.995 1
420 0.00217881451066255 0.000773154461810356 0.000145380417183003 0.00155842292490804 0.000553008818838604 0.000103986396661924 29.9 10.61 1.995 1
430 0.00217815145962877 0.000772919178483653 0.000145336176821384 0.00155826827942108 0.000552953942965138 0.000103976078342644 29.9 10.61 1.995 1
440 0.00217752268465142 0.000772696057998379 0.000145294223440788 0.00155812077934031 0.000552901602635476 0.000103966236782071 29.9 10.61 1.995 1
