# Time-averaged data for fix shrink
# TimeStep c_radreduce
0 0.035
50 0.035
100 0.035
150 0.035
200 0.035
250 0.035
300 0.035
350 0.035
400 0.035
450 0.035
500 0.035
550 0.035
600 0.035
650 0.035
700 0.035
750 0.035
800 0.035
850 0.035
900 0.035
950 0.035
1000 0.035
1050 0.035
1100 0.035
1150 0.035
1200 0.035
1250 0.035
1300 0.035
1350 0.035
1400 0.035
1450 0.035
1500 0.035
1550 0.035
1600 0.035
1650 0.035
1700 0.035
1750 0.035
1800 0.035
1850 0.035
1900 0.035
1950 0.035
2000 0.035
2050 0.035
2100 0.035
2150 0.035
2200 0.035
2250 0.035
2300 0.035
2350 0.035
2400 0.035
2450 0.035
2500 0.035
2550 0.035
2600 0.035
2650 0.035
2700 0.035
2750 0.035
2800 0.035
2850 0.035
2900 0.035
2950 0.035
3000 0.035
3050 0.035
3100 0.035
3150 0.035
3200 0.035
3250 0.035
3300 0.035
3350 0.035
3400 0.035
3450 0.035
3500 0.035
3550 0.035
3600 0.035
3650 0.035
3700 0.035
3750 0.035
3800 0.035
3850 0.035
3900 0.035
3950 0.035
4000 0.035
4050 0.035
4100 0.035
4150 0.035
4200 0.035
4250 0.035
4300 0.035
4350 0.035
4400 0.035
4450 0.035
4500 0.035
4550 0.035
4600 0.035
4650 0.035
4700 0.035
4750 0.035
4800 0.035
4850 0.035
4900 0.035
4950 0.035
5000 0.035
5050 0.035
5100 0.035
5150 0.035
5200 0.035
5250 0.035
5300 0.035
5350 0.035
5400 0.035
5450 0.035
5500 0.035
5550 0.035
5600 0.035
5650 0.035
5700 0.035
5750 0.035
5800 0.035
5850 0.035
5900 0.035
5950 0.035
6000 0.035
6050 0.035
6100 0.035
6150 0.035
6200 0.035
6250 0.035
6300 0.035
6350 0.035
6400 0.035
6450 0.035
6500 0.035
6550 0.035
6600 0.035
6650 0.035
6700 0.035
6750 0.035
6800 0.035
6850 0.035
6900 0.035
6950 0.035
7000 0.035
7050 0.035
7100 0.035
7150 0.035
7200 0.035
7250 0.035
7300 0.035
7350 0.035
7400 0.035
7450 0.035
7500 0.035
7550 0.035
7600 0.035
7650 0.035
7700 0.035
7750 0.035
7800 0.035
7850 0.035
7900 0.035
7950 0.035
8000 0.035
8050 0.035
8100 0.035
8150 0.035
8200 0.035
8250 0.035
8300 0.035
8350 0.035
8400 0.035
8450 0.035
8500 0.035
8550 0.035
8600 0.035
8650 0.035
8700 0.035
8750 0.035
8800 0.035
8850 0.035
8900 0.035
8950 0.035
9000 0.035
9050 0.035
9100 0.035
9150 0.035
9200 0.035
9250 0.035
9300 0.035
9350 0.035
9400 0.035
9450 0.035
9500 0.035
9550 0.035
9600 0.035
9650 0.035
9700 0.035
9750 0.035
9800 0.035
9850 0.035
9900 0.035
9950 0.035
10000 0.035
