#time   T_ave
0.025 330.008457875415
0.05 330.017146176579
0.075 330.025894403333
0.1 330.034624577378
0.125 330.043420386764
0.15 330.052206108752
0.175 330.060852116137
0.2 330.069415952731
0.225 330.078048656174
0.25 330.086525271104
0.275 330.095149212942
0.3 330.1037964106
0.325 330.112461327032
0.35 330.120971595473
0.375 330.129278964654
0.4 330.137814844083
0.425 330.146372254632
0.45 330.155003589573
0.475 330.163759167312
0.5 330.172472257041
0.525 330.181228078193
0.55 330.190001186685
0.575 330.198638909591
0.6 330.207192077009
0.625 330.21538921838
0.65 330.223623462124
0.675 330.232001744804
0.7 330.240389741478
0.725 330.248667785159
0.75 330.257017904508
0.775 330.265463399038
0.8 330.273955488844
0.825 330.282445151917
0.85 330.291034551117
0.875 330.299717398894
0.9 330.308544755585
0.925 330.317401998284
0.95 330.325882703175
0.975 330.334269709418
1 330.342638112218
1.025 330.351051389678
1.05 330.359413771545
1.075 330.367712538998
1.1 330.37598491732
1.125 330.384309320414
1.15 330.39255151363
1.175 330.400791537535
1.2 330.409137847845
1.225 330.41757488625
1.25 330.426237464715
1.275 330.434832611712
1.3 330.443482724415
1.325 330.452131118788
1.35 330.460819295856
1.375 330.469373907851
1.4 330.477640795252
1.425 330.485796381554
1.45 330.493940834079
1.475 330.502073613007
1.5 330.510226204893
1.525 330.518404852028
1.55 330.526572716431
1.575 330.534735647427
1.6 330.543057081583
1.625 330.551471506851
1.65 330.559898862904
1.675 330.568153117553
1.7 330.576356177356
1.725 330.584730962279
1.75 330.59340151096
1.775 330.601856259903
1.8 330.61024943418
1.825 330.61861622841
1.85 330.627027019338
1.875 330.635291940583
1.9 330.643324912252
1.925 330.651546532005
1.95 330.659831864691
1.975 330.668165886305
2 330.676593991758
2.025 330.685010479559
2.05 330.693492007321
2.075 330.701981959094
2.1 330.710334478338
2.125 330.71861036254
2.15 330.726531481001
2.175 330.734494541318
2.2 330.742627434279
2.225 330.750788596017
2.25 330.758858169272
2.275 330.767023173084
2.3 330.775243110041
2.325 330.78347143401
2.35 330.791734055634
2.375 330.800103180191
2.4 330.808549082778
2.425 330.817148493333
2.45 330.825799778347
2.475 330.834064484307
2.5 330.842204124262
2.525 330.850310765609
2.55 330.858500117929
2.575 330.866636040122
2.6 330.874697683064
2.625 330.882720107902
2.65 330.890823820298
2.675 330.898853004121
2.7 330.906862589951
2.725 330.914981122689
2.75 330.923201404823
2.775 330.931621807936
2.8 330.939975287122
2.825 330.948396900207
2.85 330.956777347677
2.875 330.965202125569
2.9 330.973526347276
2.925 330.981561744009
2.95 330.989465743964
2.975 330.997341428372
3 331.005196478541
3.025 331.013100378769
3.05 331.021023380978
3.075 331.028949203958
3.1 331.036867446884
3.125 331.044964567757
3.15 331.053170013069
3.175 331.061383577462
3.2 331.069396703139
3.225 331.077353635957
3.25 331.085443914815
3.275 331.09381919749
3.3 331.102008542666
3.325 331.110041304706
3.35 331.118183394044
3.375 331.126512032029
3.4 331.134440634525
3.425 331.142259348639
3.45 331.15015281532
3.475 331.158307189783
3.5 331.166434662895
3.525 331.174490670536
3.55 331.182883671984
3.575 331.191060457083
3.6 331.199264036669
3.625 331.207259799217
3.65 331.215153264455
3.675 331.223104127841
3.7 331.231044462214
3.725 331.239072455627
3.75 331.247156146939
3.775 331.25514898318
3.8 331.262975511653
3.825 331.270951100188
3.85 331.27897535122
3.875 331.287141275471
3.9 331.295453546558
3.925 331.303696020054
3.95 331.311955293833
3.975 331.320225987799
4 331.328354289107
4.025 331.336418113871
4.05 331.344094299095
4.075 331.351803517685
4.1 331.359696355391
4.125 331.367614647247
4.15 331.37545980633
4.175 331.383409070989
4.2 331.391423699043
4.225 331.399497442377
4.25 331.407604690382
4.275 331.415821144008
4.3 331.424081648276
4.325 331.432483237497
4.35 331.440907749047
4.375 331.448931802035
4.4 331.456814050818
4.425 331.464700001413
4.45 331.472681278223
4.475 331.480612243957
4.5 331.488351377575
4.525 331.496158112559
4.55 331.503984587686
4.575 331.511725088195
4.6 331.519533725118
4.625 331.527491175453
4.65 331.535575439194
4.675 331.543645058069
4.7 331.551527569533
4.725 331.559455264468
4.75 331.567565704631
4.775 331.575933452792
4.8 331.583869890407
4.825 331.591733060626
4.85 331.599809810779
4.875 331.607836006572
4.9 331.615457450864
4.925 331.623100476008
4.95 331.630865554297
4.975 331.638839304766
5 331.646731656865
5.025 331.654760238175
5.05 331.662887511212
5.075 331.670806604684
5.1 331.678752934474
5.125 331.686346930653
5.15 331.693708737256
5.175 331.701275729635
5.2 331.709086325599
5.225 331.717124403992
5.25 331.725077516692
5.275 331.73296365872
5.3 331.740750693548
5.325 331.748684415069
5.35 331.756583321014
5.375 331.764243957898
5.4 331.771652624914
5.425 331.779126812815
5.45 331.786819455017
5.475 331.79470440897
5.5 331.80275709351
5.525 331.810765815114
5.55 331.819000329141
5.575 331.82719550006
5.6 331.835311984579
5.625 331.843224615112
5.65 331.850975253579
5.675 331.858424707777
5.7 331.865992338891
5.725 331.87376888838
5.75 331.881565651652
5.775 331.889255362255
5.8 331.897059851279
5.825 331.904996390678
5.85 331.913009984441
5.875 331.920986553943
5.9 331.928932329941
5.925 331.936998435093
5.95 331.945223817328
5.975 331.953428260226
6 331.961611276423
6.025 331.969491005959
6.05 331.977245306162
6.075 331.984744661173
