#time   Nlower	Nupper  Nbottom
12.5 0 0 0
25 0 0 0
37.5 0 0 0
50 0 0 0
62.5 0 0 0
75 0 0 0
87.5 0 0 0
100 0 0 0
112.5 0 0 0
125 0 0 0
137.5 0 0 0
150 0 0 0
162.5 0 0 0
175 0 0 0
187.5 0 0 0
200 0 0 0
212.5 0 0 0
225 0 0 0
237.5 0 0 0
250 0 0 0
262.5 0 0 0
275 0 0 0
287.5 0 0 0
300 0 0 0
312.5 0 0 0
325 0 0 0
337.5 0 0 0
350 0 0 0
362.5 0 0 0
375 0 0 0
387.5 0 0 0
400 0 0 0
412.5 0 0 0
425 0 0 0
437.5 0 0 0
450 0 0 0
462.5 0 0 0
475 0 0 0
487.5 0 0 0
500 0 0 0
512.5 0 0 0
525 0 0 0
537.5 0 0 0
550 0 0 0
562.5 0 0 0
575 0 0 0
587.5 0 0 0
600 0 0 0
612.5 0 0 0
625 0 0 0
637.5 0 0 0
650 0 0 0
662.5 0 0 0
675 0 0 0
687.5 0 0 0
700 0 0 0
712.5 0 0 0
725 0 0 0
737.5 0 0 0
750 0 0 0
762.5 0 0 0
775 0 0 0
787.5 0 0 0
800 0 0 0
812.5 0 0 0
825 0 0 0
837.5 0 0 0
850 0 0 0
862.5 0 0 0
875 0 0 0
887.5 0 0 0
900 0 0 0
912.5 0 0 0
925 0 0 0
937.5 0 0 0
950 0 0 0
962.5 0 0 0
975 0 1 0
987.5 0 1 0
1000 0 1 0
1012.5 0 1 0
1025 0 1 0
1037.5 0 1 0
1050 0 1 0
1062.5 0 1 0
1075 0 1 0
1087.5 0 1 0
1100 0 1 0
1112.5 0 1 0
1125 0 1 0
1137.5 0 1 0
1150 0 1 0
1162.5 0 1 0
1175 0 1 0
1187.5 0 1 0
1200 0 1 0
1212.5 0 1 0
1225 0 1 0
1237.5 0 1 0
1250 0 1 0
1262.5 0 1 0
1275 0 1 0
1287.5 0 1 0
1300 0 1 0
1312.5 0 1 0
1325 0 1 0
1337.5 0 1 0
1350 0 1 0
1362.5 0 1 0
1375 0 1 0
1387.5 0 1 0
1400 0 1 0
1412.5 0 1 0
1425 0 1 0
1437.5 0 1 0
1450 0 1 0
1462.5 0 1 0
1475 0 1 0
1487.5 0 1 0
1500 0 1 0
1512.5 0 1 0
1525 0 1 0
1537.5 0 1 0
1550 0 1 0
1562.5 0 1 0
1575 0 1 0
1587.5 0 1 0
1600 0 1 0
1612.5 0 1 0
1625 0 1 0
1637.5 0 1 0
1650 0 1 0
1662.5 0 1 0
1675 0 1 0
1687.5 0 1 0
1700 0 1 0
1712.5 0 1 0
1725 0 1 0
1737.5 0 1 0
1750 0 1 0
1762.5 0 1 0
1775 0 1 0
1787.5 0 1 0
1800 0 1 0
1812.5 0 1 0
1825 0 1 0
1837.5 0 1 0
1850 0 1 0
1862.5 0 1 0
1875 0 1 0
1887.5 0 1 0
1900 0 1 0
1912.5 0 1 0
1925 0 1 0
1937.5 0 1 0
1950 0 1 0
1962.5 0 1 0
1975 0 1 0
1987.5 0 1 0
2000 0 1 0
2012.5 0 1 0
2025 0 1 0
2037.5 0 1 0
2050 0 1 0
2062.5 0 1 0
2075 0 1 0
2087.5 0 1 0
2100 0 1 0
2112.5 0 1 0
2125 0 1 0
2137.5 0 1 0
2150 0 1 0
2162.5 0 1 0
2175 0 1 0
2187.5 0 1 0
2200 0 1 0
2212.5 0 1 0
2225 0 1 0
2237.5 0 1 0
2250 0 1 0
2262.5 0 1 0
2275 0 1 0
2287.5 0 1 0
2300 0 1 0
2312.5 0 1 0
2325 0 1 0
2337.5 0 1 0
2350 0 1 0
2362.5 0 1 0
2375 0 1 0
2387.5 0 1 0
2400 0 1 0
2412.5 0 1 0
2425 0 1 0
2437.5 0 1 0
2450 0 1 0
2462.5 0 1 0
2475 0 1 0
2487.5 0 1 0
2500 0 1 0
2512.5 0 1 0
2525 0 1 0
2537.5 0 1 0
2550 0 1 0
2562.5 0 1 0
2575 0 1 0
2587.5 0 1 0
2600 0 1 0
2612.5 0 1 0
2625 0 1 0
2637.5 0 1 0
2650 0 1 0
2662.5 0 1 0
2675 0 1 0
2687.5 0 1 0
2700 0 1 0
2712.5 0 1 0
2725 0 1 0
2737.5 0 1 0
2750 0 1 0
2762.5 0 1 0
2775 0 1 0
2787.5 0 1 0
2800 0 1 0
2812.5 0 1 0
2825 0 1 0
2837.5 0 1 0
2850 0 1 0
2862.5 0 1 0
2875 0 1 0
2887.5 0 1 0
2900 0 1 0
2912.5 0 1 0
2925 0 1 0
2937.5 0 1 0
2950 0 1 0
2962.5 0 1 0
2975 0 1 0
2987.5 0 1 0
3000 0 1 0
3012.5 0 1 0
3025 0 1 0
3037.5 0 1 0
3050 0 1 0
3062.5 0 1 0
3075 0 1 0
3087.5 0 1 0
3100 0 1 0
3112.5 0 1 0
3125 0 1 0
3137.5 0 1 0
3150 0 1 0
3162.5 0 1 0
3175 0 1 0
3187.5 0 1 0
3200 0 1 0
3212.5 0 1 0
3225 0 1 0
3237.5 0 1 0
3250 0 1 0
3262.5 0 1 0
3275 0 1 0
3287.5 0 1 0
3300 0 1 0
3312.5 0 1 0
3325 0 1 0
3337.5 0 1 0
3350 0 1 0
3362.5 0 1 0
3375 0 1 0
3387.5 0 1 0
3400 0 1 0
3412.5 0 1 0
3425 0 1 0
3437.5 0 1 0
3450 0 1 0
3462.5 0 1 0
3475 0 1 0
3487.5 0 1 0
3500 0 1 0
3512.5 0 1 0
3525 0 1 0
3537.5 0 1 0
3550 0 1 0
3562.5 0 1 0
3575 0 1 0
3587.5 0 1 0
3600 0 1 0
3612.5 0 1 0
3625 0 1 0
3637.5 0 1 0
3650 0 1 0
3662.5 0 1 0
3675 0 1 0
3687.5 0 1 0
3700 0 1 0
3712.5 0 1 0
3725 0 1 0
3737.5 0 1 0
3750 0 1 0
3762.5 0 1 0
3775 0 1 0
3787.5 0 1 0
3800 0 1 0
3812.5 0 1 0
3825 0 1 0
3837.5 0 1 0
3850 0 1 0
3862.5 0 1 0
3875 0 1 0
3887.5 0 1 0
3900 0 1 0
3912.5 0 1 0
3925 0 1 0
3937.5 0 1 0
3950 0 1 0
3962.5 0 1 0
3975 0 1 0
3987.5 0 1 0
4000 0 1 0
4012.5 0 1 0
4025 0 1 0
4037.5 0 1 0
4050 0 1 0
4062.5 0 1 0
4075 0 1 0
4087.5 0 1 0
4100 0 1 0
4112.5 0 1 0
4125 0 1 0
4137.5 0 1 0
4150 0 1 0
4162.5 0 1 0
4175 0 1 0
4187.5 0 1 0
4200 0 1 0
4212.5 0 1 0
4225 0 1 0
4237.5 0 1 0
4250 0 1 0
4262.5 0 1 0
4275 0 1 0
4287.5 0 1 0
4300 0 1 0
4312.5 0 1 0
4325 0 1 0
4337.5 0 1 0
4350 0 1 0
4362.5 0 1 0
4375 0 1 0
4387.5 0 1 0
4400 0 1 0
4412.5 0 1 0
4425 0 1 0
4437.5 0 1 0
4450 0 1 0
4462.5 0 1 0
4475 0 1 0
4487.5 0 1 0
4500 0 1 0
4512.5 0 1 0
4525 0 1 0
4537.5 0 1 0
4550 0 1 0
4562.5 0 1 0
4575 0 1 0
4587.5 0 1 0
4600 0 1 0
4612.5 0 1 0
4625 0 1 0
4637.5 0 1 0
4650 0 1 0
4662.5 0 1 0
4675 0 1 0
4687.5 0 1 0
4700 0 1 0
4712.5 0 1 0
4725 0 1 0
4737.5 0 1 0
4750 0 1 0
4762.5 0 1 0
4775 0 1 0
4787.5 0 1 0
4800 0 1 0
4812.5 0 1 0
4825 0 1 0
4837.5 0 1 0
4850 0 1 0
4862.5 0 1 0
4875 0 1 0
4887.5 0 1 0
4900 0 1 0
4912.5 0 1 0
4925 0 1 0
4937.5 0 1 0
4950 0 1 0
4962.5 0 1 0
4975 0 1 0
4987.5 0 1 0
5000 0 1 0
5012.5 0 1 0
5025 0 1 0
5037.5 0 1 0
5050 0 1 0
5062.5 0 1 0
5075 0 1 0
5087.5 0 1 0
5100 0 1 0
5112.5 0 1 0
5125 0 1 0
5137.5 0 1 0
5150 0 1 0
5162.5 0 1 0
5175 0 1 0
5187.5 0 1 0
5200 0 1 0
5212.5 0 1 0
5225 0 1 0
5237.5 0 1 0
5250 0 1 0
5262.5 0 1 0
5275 0 1 0
5287.5 0 1 0
5300 0 1 0
5312.5 0 1 0
5325 0 1 0
5337.5 0 1 0
5350 0 1 0
5362.5 0 1 0
5375 0 1 0
5387.5 0 1 0
5400 0 1 0
5412.5 0 1 0
5425 0 1 0
5437.5 0 1 0
5450 0 1 0
5462.5 0 1 0
5475 0 1 0
5487.5 0 1 0
5500 0 1 0
5512.5 0 1 0
5525 0 1 0
5537.5 0 1 0
5550 0 1 0
5562.5 0 1 0
5575 0 1 0
5587.5 0 1 0
5600 0 1 0
5612.5 0 1 0
5625 0 1 0
5637.5 0 1 0
5650 0 1 0
5662.5 0 1 0
5675 0 1 0
5687.5 0 1 0
5700 0 1 0
5712.5 0 1 0
5725 0 1 0
5737.5 0 1 0
5750 0 1 0
5762.5 0 1 0
5775 0 1 0
5787.5 0 1 0
5800 0 1 0
5812.5 0 1 0
5825 0 1 0
5837.5 0 1 0
5850 0 1 0
5862.5 0 1 0
5875 0 1 0
5887.5 0 1 0
5900 0 1 0
5912.5 0 1 0
5925 0 1 0
5937.5 0 1 0
5950 0 1 0
5962.5 0 1 0
5975 0 1 0
5987.5 0 1 0
6000 0 1 0
6012.5 0 1 0
6025 0 1 0
6037.5 0 1 0
6050 0 1 0
6062.5 0 1 0
6075 0 1 0
6087.5 0 1 0
6100 0 1 0
6112.5 0 1 0
6125 0 1 0
6137.5 0 1 0
6150 0 1 0
6162.5 0 1 0
6175 0 1 0
6187.5 0 1 0
6200 0 1 0
6212.5 0 1 0
6225 0 1 0
6237.5 0 1 0
6250 0 1 0
6262.5 0 1 0
6275 0 1 0
6287.5 0 1 0
6300 0 1 0
6312.5 0 1 0
6325 0 1 0
6337.5 0 1 0
6350 0 1 0
6362.5 0 1 0
6375 0 1 0
6387.5 0 1 0
6400 0 1 0
6412.5 0 1 0
6425 0 1 0
6437.5 0 1 0
6450 0 1 0
6462.5 0 1 0
6475 0 1 0
6487.5 0 1 0
6500 0 1 0
6512.5 0 1 0
6525 0 1 0
6537.5 0 1 0
6550 0 1 0
6562.5 0 1 0
6575 0 1 0
6587.5 0 1 0
6600 0 1 0
6612.5 0 1 0
6625 0 1 0
6637.5 0 1 0
6650 0 1 0
6662.5 0 1 0
6675 0 1 0
6687.5 0 1 0
6700 0 1 0
6712.5 0 1 0
6725 0 1 0
6737.5 0 1 0
6750 0 1 0
6762.5 0 1 0
6775 0 1 0
6787.5 0 1 0
6800 0 1 0
6812.5 0 1 0
6825 0 1 0
6837.5 0 1 0
6850 0 1 0
6862.5 0 1 0
6875 0 1 0
6887.5 0 1 0
6900 0 1 0
6912.5 0 1 0
6925 0 1 0
6937.5 0 1 0
6950 0 1 0
6962.5 0 1 0
6975 0 1 0
6987.5 0 1 0
7000 0 1 0
7012.5 0 1 0
7025 0 1 0
7037.5 0 1 0
7050 0 1 0
7062.5 0 1 0
7075 0 1 0
7087.5 0 1 0
7100 0 1 0
7112.5 0 1 0
7125 0 1 0
7137.5 0 1 0
7150 0 1 0
7162.5 0 1 0
7175 0 1 0
7187.5 0 1 0
7200 0 1 0
7212.5 0 1 0
7225 0 1 0
7237.5 0 1 0
7250 0 1 0
7262.5 0 1 0
7275 0 1 0
7287.5 0 1 0
7300 0 1 0
7312.5 0 1 0
7325 0 1 0
7337.5 0 1 0
7350 0 1 0
7362.5 0 1 0
7375 0 1 0
7387.5 0 1 0
7400 0 1 0
7412.5 0 1 0
7425 0 1 0
7437.5 0 1 0
7450 0 1 0
7462.5 0 1 0
7475 0 1 0
7487.5 0 1 0
7500 0 1 0
7512.5 0 1 0
7525 0 1 0
7537.5 0 1 0
7550 0 1 0
7562.5 0 1 0
7575 0 1 0
7587.5 0 1 0
7600 0 1 0
7612.5 0 1 0
7625 0 1 0
7637.5 0 1 0
7650 0 1 0
7662.5 0 1 0
7675 0 1 0
7687.5 0 1 0
7700 0 1 0
7712.5 0 1 0
7725 0 1 0
7737.5 0 1 0
7750 0 1 0
7762.5 0 1 0
7775 0 1 0
7787.5 0 1 0
7800 0 1 0
7812.5 0 1 0
7825 0 1 0
7837.5 0 1 0
7850 0 1 0
7862.5 0 1 0
7875 0 1 0
7887.5 0 1 0
7900 0 1 0
7912.5 0 1 0
7925 0 1 0
7937.5 0 1 0
7950 0 1 0
7962.5 0 1 0
7975 0 1 0
7987.5 0 1 0
8000 0 1 0
8012.5 0 1 0
8025 0 1 0
8037.5 0 1 0
8050 0 1 0
8062.5 0 1 0
8075 0 1 0
8087.5 0 1 0
8100 0 1 0
8112.5 0 1 0
8125 0 1 0
8137.5 0 1 0
8150 0 1 0
8162.5 0 1 0
8175 0 1 0
8187.5 0 1 0
8200 0 1 0
8212.5 0 1 0
8225 0 1 0
8237.5 0 1 0
8250 0 1 0
8262.5 0 1 0
8275 0 1 0
8287.5 0 1 0
8300 0 1 0
8312.5 0 1 0
8325 0 1 0
8337.5 0 1 0
8350 0 1 0
8362.5 0 1 0
8375 0 1 0
8387.5 0 1 0
8400 0 1 0
8412.5 0 1 0
8425 0 1 0
8437.5 0 1 0
8450 0 1 0
8462.5 0 1 0
8475 0 1 0
8487.5 0 1 0
8500 0 1 0
8512.5 0 1 0
8525 0 1 0
8537.5 0 1 0
8550 0 1 0
8562.5 0 1 0
8575 0 1 0
8587.5 0 1 0
8600 0 1 0
8612.5 0 1 0
8625 0 1 0
8637.5 0 1 0
8650 0 1 0
8662.5 0 1 0
8675 0 1 0
8687.5 0 1 0
8700 0 1 0
8712.5 0 1 0
8725 0 1 0
8737.5 0 1 0
8750 0 1 0
8762.5 0 1 0
8775 0 1 0
8787.5 0 1 0
8800 0 1 0
8812.5 0 1 0
8825 0 1 0
8837.5 0 1 0
8850 0 1 0
8862.5 0 1 0
8875 0 1 0
8887.5 0 1 0
8900 0 1 0
8912.5 0 1 0
8925 0 1 0
8937.5 0 1 0
8950 0 1 0
8962.5 0 1 0
8975 0 1 0
8987.5 0 1 0
9000 0 1 0
9012.5 0 1 0
9025 0 1 0
9037.5 0 1 0
9050 0 1 0
9062.5 0 1 0
9075 0 1 0
9087.5 0 1 0
9100 0 1 0
9112.5 0 1 0
9125 0 1 0
9137.5 0 1 0
9150 0 1 0
9162.5 0 1 0
9175 0 1 0
9187.5 0 1 0
9200 0 1 0
9212.5 0 1 0
9225 0 1 0
9237.5 0 1 0
9250 0 1 0
9262.5 0 1 0
9275 0 1 0
9287.5 0 1 0
9300 0 1 0
9312.5 0 1 0
9325 0 1 0
9337.5 0 1 0
9350 0 1 0
9362.5 0 1 0
9375 0 1 0
9387.5 0 1 0
9400 0 1 0
9412.5 0 1 0
9425 0 1 0
9437.5 0 1 0
9450 0 1 0
9462.5 0 1 0
9475 0 1 0
9487.5 0 1 0
9500 0 1 0
9512.5 0 1 0
9525 0 1 0
9537.5 0 1 0
9550 0 1 0
9562.5 0 1 0
9575 0 1 0
9587.5 0 1 0
9600 0 1 0
9612.5 0 1 0
9625 0 1 0
9637.5 0 1 0
9650 0 1 0
9662.5 0 1 0
9675 0 1 0
9687.5 0 1 0
9700 0 1 0
9712.5 0 1 0
9725 0 1 0
9737.5 0 1 0
9750 0 1 0
9762.5 0 1 0
9775 0 1 0
9787.5 0 1 0
9800 0 1 0
9812.5 0 1 0
9825 0 1 0
9837.5 0 1 0
9850 0 1 0
9862.5 0 1 0
9875 0 1 0
9887.5 0 1 0
9900 0 1 0
9912.5 0 1 0
9925 0 1 0
9937.5 0 1 0
9950 0 1 0
9962.5 0 1 0
9975 0 1 0
9987.5 0 1 0
10000 0 1 0
10012.5 0 1 0
10025 0 1 0
10037.5 0 1 0
10050 0 1 0
10062.5 0 1 0
10075 0 1 0
10087.5 0 1 0
10100 0 1 0
10112.5 0 1 0
10125 0 1 0
10137.5 0 1 0
10150 0 1 0
10162.5 0 1 0
10175 0 1 0
10187.5 0 1 0
10200 0 1 0
10212.5 0 1 0
10225 0 1 0
10237.5 0 1 0
10250 0 1 0
10262.5 0 1 0
10275 0 1 0
10287.5 0 1 0
10300 0 1 0
10312.5 0 1 0
10325 0 1 0
10337.5 0 1 0
10350 0 1 0
10362.5 0 1 0
10375 0 1 0
10387.5 0 1 0
10400 0 1 0
10412.5 0 1 0
10425 0 1 0
10437.5 0 1 0
10450 0 1 0
10462.5 0 1 0
10475 0 1 0
10487.5 0 1 0
10500 0 1 0
10512.5 0 1 0
10525 0 1 0
10537.5 0 1 0
10550 0 1 0
10562.5 0 1 0
10575 0 1 0
10587.5 0 1 0
10600 0 1 0
10612.5 0 1 0
10625 0 1 0
10637.5 0 1 0
10650 0 1 0
10662.5 0 1 0
10675 0 1 0
10687.5 0 1 0
10700 0 1 0
10712.5 0 1 0
10725 0 1 0
10737.5 0 1 0
10750 0 1 0
10762.5 0 1 0
10775 0 1 0
10787.5 0 1 0
10800 0 1 0
10812.5 0 1 0
10825 0 1 0
10837.5 0 1 0
10850 0 1 0
10862.5 0 1 0
10875 0 1 0
10887.5 0 1 0
10900 0 1 0
10912.5 0 1 0
10925 0 1 0
10937.5 0 1 0
10950 0 1 0
10962.5 0 1 0
10975 0 1 0
10987.5 0 1 0
11000 0 1 0
11012.5 0 1 0
11025 0 1 0
11037.5 0 1 0
11050 0 1 0
11062.5 0 1 0
11075 0 1 0
11087.5 0 1 0
11100 0 1 0
