#time   N_coke_start   N_coke_curr N_finecoke_start N_finecoke_curr
60 11735 11621 217 210
120 11735 11573 217 203
180 11735 11600 217 196
240 11735 11613 217 197
300 11735 11635 217 211
360 11735 11667 217 206
420 11735 11689 217 215
480 11735 11725 217 215
540 11735 11734 217 207
600 11735 11733 217 206
660 11735 11735 217 216
720 11735 11735 217 213
780 11735 11735 217 211
840 11735 11734 217 205
900 11735 11716 217 216
960 11735 11735 217 215
1020 11735 11731 217 217
1080 11735 11722 217 211
1140 11735 11735 217 215
1200 11735 11735 217 217
1260 11735 11734 217 216
1320 11735 11730 217 214
1380 11735 11735 217 212
1440 11735 11735 217 216
1500 11735 11735 217 209
1560 11735 11735 217 216
1620 11735 11734 217 216
1680 11735 11735 217 213
1740 11735 11729 217 204
1800 11735 11733 217 215
1860 11735 11733 217 212
1920 11735 11734 217 217
1980 11735 11735 217 213
2040 11735 11735 217 214
2100 11735 11735 217 217
2160 11735 11728 217 216
2220 11735 11734 217 217
2280 11735 11734 217 216
2340 11735 11735 217 210
2400 11735 11734 217 217
2460 11735 11735 217 216
2520 11735 11734 217 216
2580 11735 11726 217 214
2640 11735 11735 217 213
2700 11735 11720 217 216
2760 11735 11735 217 216
2820 11735 11723 217 214
2880 11735 11735 217 216
2940 11735 11727 217 212
3000 11735 11730 217 211
3060 11735 11734 217 216
3120 11735 11735 217 216
3180 11735 11734 217 213
3240 11735 11735 217 216
3300 11735 11735 217 211
3360 11735 11734 217 216
3420 11735 11735 217 216
3480 11735 11731 217 215
3540 11735 11735 217 213
3600 11735 11735 217 216
3660 11735 11735 217 216
3720 11735 11729 217 216
3780 11735 11735 217 215
3840 11735 11734 217 216
3900 11735 11735 217 216
3960 11735 11735 217 217
4020 11735 11735 217 216
4080 11735 11730 217 211
4140 11735 11732 217 212
4200 11735 11729 217 216
4260 11735 11734 217 215
4320 11735 11735 217 212
4380 11735 11728 217 213
4440 11735 11735 217 216
4500 11735 11733 217 217
4560 11735 11735 217 213
4620 11735 11722 217 216
4680 11735 11735 217 216
4740 11735 11735 217 216
4800 11735 11735 217 212
4860 11735 11735 217 214
4920 11735 11728 217 214
4980 11735 11735 217 212
5040 11735 11734 217 216
5100 11735 11734 217 216
5160 11735 11734 217 216
5220 11735 11726 217 217
5280 11735 11728 217 216
5340 11735 11735 217 216
5400 11735 11723 217 212
5460 11735 11734 217 214
5520 11735 11732 217 214
5580 11735 11735 217 216
5640 11735 11735 217 216
5700 11735 11735 217 216
5760 11735 11735 217 216
5820 11735 11735 217 216
5880 11735 11735 217 211
5940 11735 11735 217 212
6000 11735 11735 217 214
6060 11735 11734 217 213
6120 11735 11735 217 215
6180 11735 11734 217 211
6240 11735 11735 217 213
6300 11735 11735 217 213
6360 11735 11731 217 216
6420 11735 11734 217 213
6480 11735 11733 217 216
6540 11735 11735 217 214
6600 11735 11731 217 212
6660 11735 11735 217 216
6720 11735 11734 217 201
6780 11735 11735 217 215
6840 11735 11735 217 213
6900 11735 11724 217 208
6960 11735 11735 217 213
7020 11735 11735 217 214
7080 11735 11735 217 216
7140 11735 11735 217 213
7200 11735 11735 217 214
7260 11735 11735 217 216
7320 11735 11735 217 217
7380 11735 11733 217 211
7440 11735 11735 217 216
7500 11735 11735 217 217
7560 11735 11735 217 213
7620 11735 11735 217 217
7680 11735 11735 217 216
7740 11735 11735 217 217
7800 11735 11729 217 210
7860 11735 11734 217 211
7920 11735 11735 217 216
7980 11735 11727 217 214
8040 11735 11734 217 216
8100 11735 11729 217 214
8160 11735 11735 217 211
8220 11735 11729 217 216
8280 11735 11735 217 216
8340 11735 11734 217 217
8400 11735 11723 217 216
8460 11735 11735 217 216
8520 11735 11735 217 217
8580 11735 11721 217 217
8640 11735 11734 217 216
8700 11735 11735 217 213
8760 11735 11734 217 216
8820 11735 11729 217 217
8880 11735 11733 217 217
8940 11735 11734 217 213
9000 11735 11734 217 215
9060 11735 11735 217 216
9120 11735 11735 217 216
9180 11735 11731 217 210
9240 11735 11735 217 216
9300 11735 11730 217 216
9360 11735 11734 217 213
9420 11735 11735 217 206
9480 11735 11733 217 208
9540 11735 11727 217 213
9600 11735 11732 217 217
9660 11735 11735 217 214
9720 11735 11735 217 217
9780 11735 11730 217 213
9840 11735 11734 217 207
9900 11735 11732 217 214
9960 11735 11716 217 216
10020 11735 11735 217 216
10080 11735 11735 217 207
10140 11735 11735 217 216
10200 11735 11733 217 215
10260 11735 11735 217 215
10320 11735 11726 217 206
10380 11735 11735 217 211
10440 11735 11731 217 217
