#time   n_p n_upper
60 118628 2689
120 118427 2229
180 118167 1766
240 117895 1310
300 117627 928
360 117376 640
420 117118 367
480 116871 96
540 116587 1
600 119824 2748
660 119535 2302
720 119211 1837
780 118859 1382
840 118523 973
900 118143 685
960 117802 414
1020 117475 141
1080 117129 1
1140 120344 2821
1200 120011 2368
1260 119622 1913
1320 119274 1445
1380 118881 1026
1440 118521 739
1500 118121 468
1560 117766 189
1620 117417 5
1680 120627 2891
1740 120279 2449
1800 119941 1992
1860 119590 1527
1920 119259 1087
1980 118879 794
2040 118512 517
2100 118152 241
2160 117788 15
2220 120945 2970
2280 120581 2535
2340 120212 2072
2400 119877 1606
2460 119539 1168
2520 119220 843
2580 118860 567
2640 118495 270
2700 118139 34
2760 121296 3050
2820 120931 2609
2880 120596 2138
2940 120218 1685
3000 119865 1238
3060 119529 890
3120 119171 604
3180 118776 322
3240 118429 58
3300 121597 3112
3360 121252 2688
3420 120867 2227
3480 120483 1766
3540 120119 1308
3600 119766 930
3660 119381 640
3720 119068 367
3780 118712 97
3840 118373 1
3900 121507 2748
3960 121142 2302
4020 120737 1837
4080 120390 1382
4140 120015 973
4200 119689 685
4260 119312 414
4320 118940 141
4380 118627 1
4440 121791 2821
4500 121442 2368
4560 121080 1913
4620 120689 1445
4680 120322 1026
4740 119966 739
4800 119625 468
4860 119256 189
4920 118890 5
4980 122036 2891
5040 121713 2449
5100 121338 1992
5160 120943 1527
5220 120567 1087
5280 120183 794
5340 119860 517
5400 119453 241
5460 119117 15
5520 122306 2970
5580 121942 2535
5640 121576 2072
5700 121209 1606
5760 120831 1168
5820 120438 843
5880 120083 567
5940 119730 270
6000 119347 34
6060 122531 3050
6120 122164 2609
6180 121835 2138
6240 121458 1685
6300 121071 1238
6360 120737 890
6420 120349 604
6480 119954 322
6540 119581 58
6600 122764 3112
6660 122392 2688
6720 122032 2227
6780 121701 1766
6840 121359 1308
6900 120962 930
6960 120614 640
7020 120209 367
7080 119845 97
7140 119473 1
7200 122651 2748
7260 122297 2302
7320 121959 1837
7380 121577 1382
7440 121223 973
7500 120850 685
7560 120448 414
7620 120067 141
7680 119696 1
7740 122872 2821
7800 122558 2368
7860 122212 1913
7920 121830 1445
7980 121467 1026
8040 121099 739
8100 120668 468
8160 120303 189
8220 119947 5
8280 123097 2891
8340 122728 2449
8400 122387 1992
8460 122063 1527
8520 121648 1087
8580 121302 794
8640 120909 517
8700 120513 241
8760 120160 15
8820 123305 2970
8880 122937 2535
8940 122590 2072
9000 122219 1606
9060 121852 1168
9120 121450 843
9180 121078 567
9240 120684 270
9300 120327 34
9360 123494 3050
9420 123137 2609
9480 122755 2138
9540 122378 1685
9600 122008 1238
9660 121645 890
9720 121258 604
9780 120849 322
9840 120471 58
9900 123713 3112
9960 123333 2688
10020 122941 2227
10080 122581 1766
10140 122204 1308
10200 121823 930
10260 121461 640
10320 121060 367
10380 120677 97
10440 120275 1
10500 123452 2748
10560 123089 2302
10620 122742 1837
10680 122355 1382
10740 121999 973
10800 121612 685
10860 121233 414
10920 120848 141
10980 120474 1
11040 123643 2821
11100 123227 2368
11160 122904 1913
11220 122493 1445
11280 122085 1026
11340 121742 739
11400 121335 468
11460 120940 189
11520 120581 5
11580 123779 2891
11640 123368 2449
11700 122970 1992
11760 122631 1527
11820 122275 1087
11880 121907 794
11940 121506 517
12000 121086 241
12060 120740 15
12120 123913 2970
12180 123516 2535
12240 123120 2072
12300 122775 1606
12360 122377 1168
12420 122040 843
12480 121687 567
12540 121261 270
12600 120851 34
12660 124054 3050
12720 123684 2609
12780 123274 2138
12840 122871 1685
12900 122504 1238
12960 122166 890
13020 121742 604
13080 121348 322
13140 120944 58
13200 124140 3112
13260 123807 2688
