#time   N_all   N_coke    N_ore
60 66241 18995 38689
120 65893 18864 38505
180 65545 18754 38289
240 65174 18670 38029
300 64796 18585 37774
360 64416 18520 37497
420 64022 18453 37206
480 63654 18386 36950
540 63283 18267 36746
600 66481 19126 38693
660 66147 18976 38553
720 65819 18839 38393
780 65444 18726 38160
840 65091 18642 37918
900 64718 18552 37658
960 64354 18474 37398
1020 63966 18401 37116
1080 63573 18331 36840
1140 66741 19241 38705
1200 66395 19104 38540
1260 66042 18946 38387
1320 65712 18796 38242
1380 65357 18657 38059
1440 64997 18559 37836
1500 64625 18483 37572
1560 64212 18413 37268
1620 63816 18364 36964
1680 66984 19304 38802
1740 66598 19198 38582
1800 66253 19071 38412
1860 65914 18904 38293
1920 65566 18725 38183
1980 65232 18597 38021
2040 64858 18490 37790
2100 64474 18418 37519
2160 64077 18366 37218
2220 67213 19304 39018
2280 66777 19260 38698
2340 66409 19183 38477
2400 66029 19046 38284
2460 65726 18885 38190
2520 65393 18677 38113
2580 65057 18523 37968
2640 64702 18424 37748
2700 64319 18341 37489
2760 67449 19286 39278
2820 67047 19251 38965
2880 66613 19213 38632
2940 66230 19138 38383
3000 65867 18993 38221
3060 65528 18835 38081
3120 65218 18635 38005
3180 64889 18484 37875
3240 64518 18366 37667
3300 67661 19278 39512
3360 67262 19222 39232
3420 66845 19183 38921
3480 66438 19148 38603
3540 66043 19074 38341
3600 65697 18930 38184
3660 65342 18747 38069
3720 65011 18564 37974
3780 64660 18415 37822
3840 64294 18326 37597
3900 67435 19251 39433
3960 67022 19193 39134
4020 66617 19152 38822
4080 66238 19109 38524
4140 65861 19012 38277
4200 65519 18837 38148
4260 65222 18659 38065
4320 64891 18457 37986
4380 64544 18331 37812
4440 67696 19256 39641
4500 67293 19214 39322
4560 66888 19176 39001
4620 66468 19139 38659
4680 66070 19108 38333
4740 65727 18948 38184
4800 65424 18755 38111
4860 65120 18550 38049
4920 64780 18364 37934
4980 67934 19303 39754
5040 67513 19258 39435
5100 67118 19224 39130
5160 66668 19185 38779
5220 66241 19131 38461
5280 65898 19047 38254
5340 65571 18840 38164
5400 65252 18639 38087
5460 64927 18452 37987
5520 68121 19340 39881
5580 67712 19277 39586
5640 67295 19228 39259
5700 66877 19192 38930
5760 66485 19160 38613
5820 66098 19070 38357
5880 65748 18916 38199
5940 65436 18727 38107
6000 65108 18539 38006
6060 68292 19411 39902
6120 67899 19336 39630
6180 67503 19271 39353
6240 67093 19223 39044
6300 66662 19184 38707
6360 66303 19106 38480
6420 65950 18957 38319
6480 65601 18777 38189
6540 65269 18594 38079
6600 68464 19474 39985
6660 68076 19382 39727
6720 67692 19317 39453
6780 67263 19260 39143
6840 66860 19214 38830
6900 66466 19161 38537
6960 66094 19004 38383
7020 65776 18834 38274
7080 65454 18649 38179
7140 65127 18504 38028
7200 68297 19419 39873
7260 67874 19362 39555
7320 67481 19305 39249
7380 67066 19263 38935
7440 66660 19224 38613
7500 66283 19108 38397
7560 65958 18948 38281
7620 65623 18750 38192
7680 65306 18557 38102
7740 68477 19448 39977
7800 68096 19374 39700
7860 67683 19324 39378
7920 67262 19274 39047
7980 66841 19236 38709
8040 66485 19156 38478
8100 66122 18988 38342
8160 65784 18797 38243
8220 65453 18600 38149
8280 68634 19474 40053
8340 68246 19395 39780
8400 67855 19340 39486
8460 67439 19289 39160
8520 67016 19244 38826
8580 66613 19186 38542
8640 66260 19038 38388
8700 65908 18864 38264
8760 65574 18664 38168
8820 68788 19518 40127
8880 68392 19427 39874
8940 67983 19359 39585
9000 67580 19309 39276
9060 67167 19263 38959
9120 66735 19213 38640
9180 66346 19088 38436
9240 66000 18927 38307
9300 65673 18732 38219
9360 68879 19566 40198
9420 68498 19452 39966
9480 68107 19372 39696
9540 67709 19322 39379
9600 67300 19276 39067
9660 66856 19227 38726
9720 66477 19119 38504
9780 66134 18960 38363
9840 65804 18782 38260
9900 69005 19592 40251
9960 68632 19476 40029
10020 68241 19396 39765
10080 67832 19341 39458
10140 67399 19289 39126
10200 66967 19245 38786
10260 66569 19141 38551
10320 66226 18998 38394
10380 65866 18804 38281
10440 65529 18618 38172
10500 68697 19491 40078
10560 68308 19412 39807
10620 67909 19347 39510
10680 67472 19293 39179
10740 67050 19253 38839
10800 66660 19169 38581
10860 66294 19016 38421
10920 65945 18839 38301
10980 65587 18635 38194
11040 68773 19507 40109
11100 68387 19417 39855
11160 68001 19358 39570
11220 67563 19302 39237
11280 67128 19255 38886
11340 66734 19188 38606
11400 66368 19039 38442
11460 66015 18859 38320
11520 65674 18666 38218
11580 68874 19529 40160
11640 68475 19431 39902
11700 68075 19361 39614
11760 67635 19305 39280
11820 67215 19259 38954
11880 66804 19201 38648
11940 66436 19065 38467
12000 66078 18894 38336
12060 65745 18702 38241
12120 68930 19546 40190
12180 68558 19455 39951
12240 68135 19372 39655
12300 67716 19319 39332
12360 67294 19266 39015
12420 66864 19216 38685
12480 66500 19093 38491
12540 66129 18927 38348
12600 65796 18736 38249
12660 68988 19564 40225
12720 68628 19470 39998
12780 68206 19377 39717
12840 67809 19328 39404
12900 67370 19272 39076
12960 66931 19227 38728
13020 66564 19121 38519
13080 66190 18965 38363
13140 65854 18770 38262
13200 69055 19588 40257
13260 68678 19478 40035
