#time   T_ave
30 889.305320789848
60 891.838353912913
90 894.473151867379
120 897.089123527059
150 899.748967166288
180 902.447780686994
210 905.086226925
240 907.775696114161
270 910.428483539357
300 913.064726630034
330 915.70513515713
360 918.246217774843
390 920.826079072607
420 923.416029814785
450 925.906925827297
480 928.371094729009
510 930.703583233878
540 932.653651992263
570 915.800388688515
600 917.675924657139
630 919.791527407083
660 921.678570246447
690 923.084918131532
720 924.987603284034
750 926.84042477452
780 928.61382875338
810 930.371335943727
840 932.323263238696
870 933.814357596226
900 935.512218921832
930 937.246752440795
960 938.988279051943
990 940.763227331367
1020 942.486625216752
1050 944.127183301109
1080 945.710111502318
1110 928.495994007816
1140 929.985412293268
1170 931.458449231017
1200 933.136981962803
1230 934.61974105503
1260 935.944069473608
1290 937.710673878627
1320 939.332976047093
1350 940.526419130537
1380 942.082660468898
1410 943.72009785569
1440 945.269307057576
1470 946.862154250492
1500 948.222207011971
1530 949.973399258398
1560 951.832681254123
1590 953.424803138778
1620 955.109280949352
1650 956.68293229609
1680 938.946499102166
1710 940.476117888105
1740 942.131112468968
1770 943.675927183837
1800 945.248592104243
1830 946.852045762838
1860 948.330640410628
1890 950.070097518372
1920 951.474877963525
1950 952.731295362448
1980 954.246147363487
2010 956.011522560744
2040 957.285214950857
2070 958.840724513129
2100 960.51545796794
2130 962.020827342256
2160 963.67778860563
2190 964.95148877482
2220 947.070653773666
2250 948.436288284839
2280 950.123992866554
2310 951.832825440757
2340 953.1068818729
2370 954.935454441704
2400 956.259231664907
2430 957.840841662049
2460 959.402621480203
2490 960.975352373107
2520 962.719581944607
2550 964.08318310568
2580 965.555026187372
2610 967.208209242457
2640 968.584872498595
2670 969.985278934755
2700 971.629008639746
2730 973.099320046426
2760 954.7299972099
2790 956.192552422768
2820 957.718616923188
2850 959.233026935006
2880 960.74979623456
2910 962.110693094275
2940 963.674895771964
2970 965.338105815732
3000 966.714203148459
3030 968.109890257642
3060 969.881506342268
3090 971.223253072856
3120 972.80191904726
3150 974.126627585077
3180 975.574697389321
3210 977.17870686291
3240 978.656912111966
3270 980.144262662635
3300 981.675117327957
3330 963.028743499226
3360 964.759278343104
3390 966.077822429413
3420 967.649293432252
3450 969.039095821758
3480 970.524736746371
3510 971.900017422494
3540 973.474071139187
3570 974.857143427599
3600 976.540405753628
3630 977.904472007536
3660 979.394936389015
3690 981.079102540988
3720 982.677331315408
3750 984.185327156242
3780 985.534593611564
3810 987.209383737842
3840 988.73363831873
3870 970.16686938216
3900 971.314573929955
3930 972.724302183748
3960 974.212922332668
3990 975.544515834565
4020 976.859118017112
4050 978.360648119758
4080 979.957339702583
4110 981.385356912583
4140 982.84002411716
4170 984.375610721969
4200 986.091807804044
4230 987.514516329627
4260 989.003684636441
4290 990.335487147411
4320 991.849159950387
4350 993.594633821583
4380 995.153380063535
4410 976.320610171536
4440 977.709556781979
4470 979.251299751233
4500 980.726650476227
4530 981.969825929014
4560 983.462323959349
4590 984.904261935389
4620 986.228387087647
4650 987.955887094135
4680 989.356593088031
4710 990.872536840402
4740 992.274082673832
4770 993.848167465842
4800 995.417122037751
4830 996.893310398074
4860 998.396402431458
4890 1000.04267149762
4920 1001.46768818773
4950 1002.93903178786
4980 983.797165239208
5010 985.59973906365
5040 987.003435276248
5070 988.441344472714
5100 989.900147336885
5130 991.132741576816
5160 992.609806124935
5190 994.136217815383
5220 995.62014546103
5250 997.009287841284
5280 998.50786957187
5310 1000.06303691281
5340 1001.85500930407
5370 1003.0761488111
5400 1004.47685551819
5430 1006.17138958271
5460 1007.8328875517
5490 1009.30979973903
5520 990.397132182681
5550 991.894930226518
5580 993.245526078119
5610 994.847021120056
5640 996.220862535871
5670 997.65653623132
5700 999.089783271254
5730 1000.34078224939
5760 1001.83028373188
5790 1003.39662822703
5820 1004.58212810037
5850 1006.32310135881
5880 1007.61828467997
5910 1009.10035206473
5940 1010.75158380796
5970 1012.29676670911
6000 1013.59187200513
6030 1015.20475047069
6060 996.085160695881
6090 997.474914404316
6120 999.042897193928
6150 1000.53336540039
6180 1002.20081168928
6210 1003.54558631296
6240 1005.05643643327
6270 1006.73904168663
6300 1007.94744986641
6330 1009.61598292334
6360 1011.02310183088
6390 1012.41493213131
6420 1013.86891257828
6450 1015.25102584135
6480 1016.73450743853
6510 1018.09536004893
6540 1019.67791726618
6570 1021.33512408337
6600 1022.91166876165
6630 1003.39673031239
6660 1004.98708167317
6690 1006.53784796054
6720 1008.02610158808
6750 1009.84430188863
6780 1011.29559846793
6810 1012.79730107325
6840 1014.35426080972
6870 1015.66620872405
6900 1017.05195913408
6930 1018.60931547925
6960 1020.16511531141
6990 1021.41352790985
7020 1022.88787311125
7050 1024.40961151166
7080 1026.00712476893
7110 1027.26060340406
7140 1028.92972135491
7170 1009.5450542415
7200 1011.05140572631
7230 1012.54055043374
7260 1013.93085600431
7290 1015.45386743186
7320 1017.08640321914
7350 1018.46575834128
7380 1019.93738096989
7410 1021.32278298765
7440 1022.84632330158
7470 1024.35678311012
7500 1025.74070015263
7530 1026.96530125747
7560 1028.48471572169
7590 1029.8477936561
7620 1031.36421327954
7650 1032.85903008868
7680 1034.29011501842
7710 1014.75694928292
7740 1016.27779758937
7770 1017.85391001844
7800 1019.54063748073
7830 1020.78831457094
7860 1022.48131995832
7890 1023.92550586627
7920 1025.268729479
7950 1026.69975504613
7980 1028.22272395673
8010 1029.66144304454
8040 1031.08238748538
8070 1032.32437634048
8100 1033.77036470161
8130 1035.28122474517
8160 1036.68224458502
8190 1038.24837831718
8220 1039.79306823109
8250 1041.23023407481
8280 1021.53416661941
8310 1023.00095966011
8340 1024.46433972313
8370 1026.07315442182
8400 1027.43919312426
8430 1028.93280691673
8460 1030.54237043718
8490 1031.88100174291
8520 1033.14967976421
8550 1034.68581022223
8580 1036.12198070573
8610 1037.60253633752
8640 1038.86602276056
8670 1040.20115855949
8700 1041.57164668452
8730 1043.08637966511
8760 1044.61599624875
8790 1046.05145732009
8820 1026.0683130667
8850 1027.57923788943
8880 1028.97317858794
8910 1030.47969902229
8940 1031.95920519325
8970 1033.50411808146
9000 1034.78928945389
9030 1036.26468681229
9060 1037.56287447789
9090 1039.01450899928
9120 1040.2381260526
9150 1041.83452248983
9180 1043.17653449451
9210 1044.69199123339
9240 1045.92154406004
9270 1047.36927622277
9300 1048.98256808961
9330 1050.35530109379
9360 1030.47542150221
9390 1031.88550608859
9420 1033.36385180094
9450 1034.60992047253
9480 1036.18737272441
9510 1037.66779762235
9540 1039.03602447527
9570 1040.4385033859
9600 1041.8711535022
9630 1043.31781710639
9660 1044.65960384285
9690 1046.16179646313
9720 1047.4841614725
9750 1048.89487348746
9780 1050.12991968562
9810 1051.66699293372
9840 1053.06362552673
9870 1054.76833174809
9900 1056.41795037063
9930 1036.25760557684
9960 1037.76342702634
9990 1039.03742527648
10020 1040.44650240585
10050 1041.96356803108
10080 1043.30732294072
10110 1044.80425873652
10140 1046.04964747654
10170 1047.58997341272
10200 1048.84928079743
10230 1050.3468646388
10260 1051.64989199182
10290 1053.01467504144
